time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003763,-0.1478,0.2692,-1.2510,1.288
0.004569,-0.0275,0.2364,-1.1769,1.201
0.005162,-0.3181,0.2182,-1.1389,1.202
0.005792,-0.8144,0.1603,-1.0512,1.339
0.006808,-0.7982,0.0500,-0.9328,1.229
0.013827,-0.4211,-0.0684,-0.7248,0.841
0.016456,-0.0831,-0.1838,-0.4851,0.525
0.023182,0.1782,-0.2638,-0.2523,0.406
0.026542,0.3396,-0.2925,-0.0362,0.450
0.031798,0.3832,-0.2679,0.1823,0.502
0.036920,0.3288,-0.2332,0.3627,0.542
0.039758,0.2294,-0.1955,0.4723,0.560
0.044760,0.1186,-0.1712,0.4979,0.540
0.049183,-0.0130,-0.1789,0.4449,0.480
0.057625,-0.1438,-0.1990,0.3380,0.418
0.059250,-0.2547,-0.2190,0.1896,0.386
0.063198,-0.3461,-0.2174,0.0407,0.411
0.069256,-0.4130,-0.2084,-0.1042,0.474
0.073530,-0.4746,-0.1893,-0.2403,0.565
0.082548,-0.5191,-0.1744,-0.3440,0.647
0.083274,-0.5392,-0.1633,-0.4203,0.703
0.090549,-0.5496,-0.1302,-0.4695,0.734
0.092354,-0.5361,-0.1035,-0.4918,0.735
0.096675,-0.5011,-0.0953,-0.4757,0.697
0.101593,-0.4687,-0.0913,-0.4524,0.658
0.105802,-0.4245,-0.0938,-0.4340,0.614
0.111002,-0.3758,-0.1125,-0.4084,0.566
0.115945,-0.3370,-0.1187,-0.3876,0.527
0.123996,-0.3008,-0.1150,-0.3454,0.472
0.124640,-0.2674,-0.1302,-0.2915,0.416
0.132533,-0.2247,-0.1427,-0.2307,0.352
0.133422,-0.1825,-0.1504,-0.1490,0.280
0.138186,-0.1525,-0.1652,-0.0774,0.238
0.144357,-0.1440,-0.1821,-0.0255,0.234
0.149146,-0.1639,-0.1987,0.0138,0.258
0.152929,-0.2095,-0.2007,0.0358,0.292
0.157094,-0.2521,-0.1928,0.0646,0.324
0.161780,-0.2727,-0.1846,0.0907,0.342
0.166573,-0.2811,-0.1713,0.1188,0.350
0.170975,-0.2870,-0.1555,0.1611,0.364
0.176673,-0.2716,-0.1395,0.2032,0.367
0.182394,-0.2326,-0.1284,0.2406,0.358
0.186171,-0.1893,-0.1198,0.2874,0.364
0.189766,-0.1609,-0.1091,0.3340,0.386
0.194419,-0.1447,-0.0988,0.3709,0.410
0.199289,-0.1264,-0.0983,0.3838,0.416
0.206540,-0.1202,-0.0908,0.3801,0.409
0.208828,-0.1402,-0.0716,0.3765,0.408
0.213214,-0.1672,-0.0549,0.3586,0.399
0.218553,-0.1796,-0.0476,0.3432,0.390
0.222829,-0.1988,-0.0330,0.3088,0.369
0.227728,-0.2176,-0.0275,0.2555,0.337
0.231666,-0.2360,-0.0287,0.2145,0.320
0.236607,-0.2373,-0.0223,0.1903,0.305
0.241166,-0.2169,-0.0295,0.1709,0.278
0.245910,-0.2083,-0.0409,0.1610,0.266
0.251875,-0.2136,-0.0373,0.1486,0.263
0.255536,-0.2044,-0.0334,0.1386,0.249
0.259903,-0.1808,-0.0195,0.1500,0.236
0.264889,-0.1455,0.0018,0.1590,0.216
0.269227,-0.0961,0.0327,0.1635,0.192
0.275656,-0.0378,0.0729,0.1776,0.196
0.278990,0.0128,0.1056,0.1824,0.211
0.284277,0.0581,0.1308,0.1756,0.226
0.288120,0.1218,0.1483,0.1690,0.256
0.292983,0.1942,0.1630,0.1746,0.308
0.297606,0.2493,0.1701,0.1634,0.343
0.302366,0.3014,0.1792,0.1476,0.380
0.307140,0.3436,0.1949,0.1530,0.424
0.311621,0.3640,0.2077,0.1345,0.440
0.316214,0.3700,0.2155,0.0803,0.436
0.321479,0.3523,0.2301,0.0311,0.422
0.326592,0.3228,0.2517,-0.0083,0.409
0.330452,0.3008,0.2755,-0.0449,0.410
0.334971,0.2718,0.2872,-0.0670,0.401
0.339969,0.2526,0.2989,-0.0818,0.400
0.344466,0.2502,0.3083,-0.0989,0.409
0.349348,0.2527,0.3129,-0.1159,0.419
0.353517,0.2648,0.3247,-0.1256,0.437
0.359186,0.2767,0.3316,-0.1377,0.453
0.362826,0.2767,0.3266,-0.1616,0.458
0.367977,0.2648,0.3217,-0.1781,0.453
0.372353,0.2531,0.3193,-0.1919,0.450
0.377744,0.2485,0.3147,-0.1960,0.446
0.381558,0.2368,0.3196,-0.1833,0.438
0.386940,0.2442,0.3317,-0.1611,0.442
0.392013,0.2705,0.3318,-0.1177,0.444
0.395835,0.2847,0.3223,-0.0771,0.437
0.401353,0.2869,0.3103,-0.0418,0.425
0.405406,0.3082,0.2937,-0.0116,0.426
0.410327,0.3318,0.2676,0.0251,0.427
0.414694,0.3387,0.2298,0.0565,0.413
0.421154,0.3410,0.2065,0.0706,0.405
0.424281,0.3460,0.2048,0.1054,0.416
