time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001553,-0.0495,-0.0868,-0.1303,0.164
0.004286,0.0164,-0.1378,-0.0724,0.157
0.008924,0.0368,-0.1715,-0.0062,0.175
0.015255,0.0431,-0.1618,0.0679,0.181
0.018478,0.0282,-0.1283,0.1358,0.189
0.023243,-0.0221,-0.0925,0.1909,0.213
0.028554,-0.1052,-0.0640,0.2265,0.258
0.032416,-0.1853,-0.0356,0.2692,0.329
0.037472,-0.2458,-0.0217,0.3049,0.392
0.041948,-0.2512,-0.0150,0.2838,0.379
0.046457,-0.1832,-0.0227,0.2134,0.282
0.051096,-0.0682,-0.0210,0.0961,0.120
0.056897,0.0435,0.0066,-0.0326,0.055
0.060955,0.1402,0.0408,-0.1396,0.202
0.065257,0.2077,0.0768,-0.2229,0.314
0.070342,0.2201,0.1145,-0.2349,0.342
0.074804,0.1850,0.1515,-0.1691,0.293
0.079542,0.1288,0.1711,-0.0687,0.225
0.086150,0.0801,0.1472,0.0236,0.169
0.088619,0.0722,0.1230,0.0723,0.160
0.093420,0.0761,0.1081,0.0424,0.139
0.098863,0.0728,0.1003,-0.0608,0.138
0.103312,0.0410,0.0998,-0.2010,0.228
0.107334,-0.0616,0.0928,-0.3375,0.355
0.112362,-0.1751,0.0680,-0.4705,0.507
0.116792,-0.2614,0.0400,-0.5855,0.642
0.122171,-0.3539,0.0114,-0.6563,0.746
0.126048,-0.4383,-0.0010,-0.6902,0.818
0.131151,-0.4888,0.0121,-0.7063,0.859
0.136497,-0.5245,0.0549,-0.6621,0.846
0.141178,-0.5527,0.1171,-0.4301,0.710
0.150656,-0.5356,0.1744,-0.0269,0.564
0.151011,-0.3808,0.2141,0.4036,0.595
0.154378,-0.1087,0.2219,0.7234,0.764
0.159210,0.1847,0.1903,0.8669,0.907
0.165204,0.4446,0.1599,0.8496,0.972
0.168369,0.6264,0.1473,0.7344,0.976
0.173515,0.6855,0.1643,0.5689,0.906
0.178407,0.6255,0.1991,0.3893,0.763
0.185580,0.4949,0.2234,0.2436,0.595
0.189132,0.3178,0.2424,0.1248,0.419
0.191921,0.1185,0.2493,0.0167,0.277
0.198942,-0.0674,0.2613,-0.0830,0.282
0.201133,-0.2279,0.2786,-0.1505,0.390
0.206115,-0.3609,0.2896,-0.1811,0.497
0.211474,-0.4548,0.3062,-0.1705,0.574
0.217251,-0.4910,0.3115,-0.1594,0.603
0.220228,-0.4674,0.3128,-0.1644,0.586
0.224643,-0.4013,0.3219,-0.1572,0.538
0.229607,-0.3381,0.3385,-0.1283,0.495
0.234345,-0.3133,0.3553,-0.0662,0.478
0.238523,-0.2983,0.3792,0.0216,0.483
0.243399,-0.2572,0.4077,0.1299,0.499
0.248157,-0.1855,0.4286,0.2107,0.512
0.259579,-0.0812,0.4322,0.2714,0.517
0.259972,0.0222,0.4283,0.3148,0.532
0.262490,0.0938,0.4072,0.3051,0.517
0.266792,0.1578,0.3741,0.2524,0.478
0.271535,0.2165,0.3432,0.1807,0.444
0.276202,0.2415,0.3054,0.1018,0.402
0.281173,0.2404,0.2820,0.0159,0.371
0.285768,0.2465,0.2920,-0.0557,0.386
0.290474,0.2692,0.3137,-0.1082,0.427
0.300093,0.3060,0.3183,-0.1678,0.472
0.300538,0.3211,0.3227,-0.2201,0.506
0.304331,0.3172,0.3245,-0.2580,0.522
0.308867,0.3299,0.3071,-0.3053,0.544
0.313594,0.3592,0.2897,-0.3691,0.591
0.318380,0.3763,0.2936,-0.4443,0.652
0.322991,0.3720,0.3047,-0.5047,0.697
0.328322,0.3510,0.3109,-0.5289,0.707
0.332304,0.3136,0.3172,-0.5292,0.692
0.337301,0.2884,0.3140,-0.5127,0.667
0.341726,0.2753,0.3133,-0.4986,0.650
0.346709,0.2860,0.3221,-0.4725,0.639
0.351174,0.3060,0.3190,-0.4416,0.625
0.359337,0.3068,0.3276,-0.3988,0.600
0.360900,0.3336,0.3170,-0.3325,0.568
0.365362,0.3721,0.3061,-0.2480,0.542
0.370348,0.3865,0.3257,-0.1264,0.521
0.374960,0.3864,0.3209,0.0249,0.503
0.379408,0.3579,0.2967,0.1673,0.494
0.383857,0.3201,0.2816,0.2701,0.505
0.388593,0.2731,0.2710,0.3384,0.512
0.393455,0.1980,0.2794,0.3701,0.504
0.398155,0.1070,0.3091,0.3755,0.498
0.402814,-0.0045,0.3483,0.3426,0.489
0.407577,-0.1198,0.4136,0.2814,0.514
0.412241,-0.2104,0.4810,0.2233,0.571
0.417305,-0.2646,0.5433,0.1517,0.623
0.421825,-0.2757,0.6003,0.0764,0.665
0.426901,-0.2584,0.6496,-0.0072,0.699
0.431634,-0.2344,0.6932,-0.0986,0.738
0.436398,-0.2013,0.7217,-0.1693,0.768
0.440342,-0.1593,0.7256,-0.2218,0.775
0.445060,-0.1442,0.7335,-0.2584,0.791
0.449921,-0.1579,0.7406,-0.2606,0.801
0.455360,-0.1789,0.7281,-0.2430,0.788
0.459173,-0.1999,0.6986,-0.2254,0.761
0.463871,-0.2135,0.6617,-0.2104,0.726
0.469029,-0.2247,0.6366,-0.2079,0.706
0.472983,-0.2333,0.6069,-0.2107,0.684
0.478079,-0.2394,0.5750,-0.2214,0.661
0.482450,-0.2594,0.5317,-0.2376,0.638
0.487241,-0.2909,0.4985,-0.2381,0.624
0.492297,-0.3148,0.4875,-0.2537,0.633
0.496721,-0.3358,0.4699,-0.2987,0.650
0.501176,-0.3588,0.4460,-0.3320,0.662
0.506362,-0.4028,0.4442,-0.3583,0.699
0.511712,-0.4535,0.4572,-0.3702,0.743
0.516040,-0.4800,0.4704,-0.3796,0.772
0.520182,-0.4849,0.4908,-0.3886,0.792
0.524640,-0.4851,0.5254,-0.3921,0.816
0.529368,-0.4831,0.5599,-0.3945,0.838
0.534956,-0.4694,0.5990,-0.3890,0.855
0.539209,-0.4250,0.6213,-0.4041,0.854
0.544013,-0.3384,0.6127,-0.4234,0.818
0.548491,-0.2359,0.5829,-0.4351,0.765
0.553597,-0.1248,0.5461,-0.4419,0.714
0.558165,-0.0146,0.5214,-0.4678,0.701
0.563167,0.0639,0.5015,-0.4984,0.710
0.567597,0.1155,0.4840,-0.5146,0.716
0.571743,0.1407,0.4807,-0.5239,0.725
0.576454,0.1514,0.4820,-0.5357,0.736
0.581312,0.1644,0.4855,-0.5618,0.760
0.586673,0.1678,0.4889,-0.5853,0.781
0.590591,0.1569,0.4828,-0.6038,0.789
0.595271,0.1389,0.4698,-0.6267,0.795
0.600095,0.1235,0.4523,-0.6349,0.789
0.604427,0.0987,0.4425,-0.6145,0.764
0.609555,0.0671,0.4472,-0.5778,0.734
0.613974,0.0477,0.4522,-0.5156,0.687
0.618953,0.0381,0.4550,-0.4471,0.639
0.623392,0.0381,0.4580,-0.3700,0.590
0.628577,0.0525,0.4632,-0.2751,0.541
0.632543,0.0835,0.4731,-0.1936,0.518
0.638806,0.1143,0.4945,-0.1326,0.525
0.642851,0.1474,0.5012,-0.0995,0.532
0.646857,0.1567,0.4791,-0.0488,0.506
0.652048,0.1351,0.4711,-0.0112,0.490
0.657126,0.1375,0.4914,-0.0621,0.514
0.661964,0.1872,0.5158,-0.2002,0.584
0.665529,0.2198,0.5206,-0.3510,0.665
0.673248,0.2045,0.5083,-0.4742,0.725
0.675061,0.1559,0.4908,-0.5531,0.756
0.679921,0.1027,0.4683,-0.5902,0.760
0.684195,0.0782,0.4432,-0.5879,0.740
0.688928,0.0822,0.4153,-0.5585,0.701
0.694338,0.1002,0.3801,-0.5191,0.651
0.699056,0.1558,0.3424,-0.4533,0.589
0.702959,0.2702,0.2899,-0.3545,0.532
0.707785,0.4214,0.1943,-0.2204,0.514
0.712365,0.5853,0.0655,-0.0865,0.595
0.717494,0.7238,-0.0583,0.0284,0.727
0.721807,0.8347,-0.1792,0.1243,0.863
0.726853,0.9256,-0.3020,0.1705,0.988
0.731326,0.9989,-0.4072,0.1813,1.094
0.737005,1.0195,-0.4995,0.1658,1.147
0.740844,0.9688,-0.5596,0.1688,1.131
0.744993,0.8572,-0.5638,0.2012,1.046
0.750296,0.7233,-0.5075,0.2599,0.921
0.756050,0.5721,-0.4149,0.3368,0.783
0.759220,0.4015,-0.2936,0.3865,0.630
0.764540,0.2234,-0.1322,0.4094,0.485
0.768761,0.0519,0.0306,0.4276,0.432
0.773296,-0.1013,0.1398,0.4443,0.477
0.778198,-0.2056,0.1909,0.4413,0.523
0.782718,-0.2190,0.2052,0.4173,0.514
