time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001391,-1.1601,0.2104,-1.8281,2.175
0.005939,-1.1810,0.1075,-1.8771,2.220
0.008943,-1.1055,0.0307,-1.7840,2.099
0.015187,-0.9552,-0.0066,-1.4916,1.771
0.019669,-0.7518,-0.0082,-1.0141,1.262
0.023172,-0.5504,-0.0066,-0.4259,0.696
0.027946,-0.4174,-0.0051,0.1484,0.443
0.032477,-0.3284,-0.0049,0.6056,0.689
0.037408,-0.1824,-0.0140,0.9981,1.015
0.043035,0.0495,-0.0095,1.3713,1.372
0.047284,0.3173,-0.0041,1.7058,1.735
0.051352,0.5546,-0.0554,2.0036,2.080
0.056193,0.7386,-0.0875,2.2807,2.399
0.061115,0.8728,-0.0910,2.4810,2.632
0.065984,0.9677,-0.1230,2.5441,2.725
0.074538,1.0096,-0.1519,2.4555,2.659
0.075379,0.9531,-0.1696,2.2032,2.406
0.083251,0.8076,-0.1774,1.7996,1.980
0.084262,0.6037,-0.1835,1.2907,1.437
0.091065,0.3791,-0.1654,0.7061,0.818
0.095766,0.1543,-0.1315,0.1204,0.236
0.098699,-0.0666,-0.0976,-0.4035,0.420
0.103751,-0.2797,-0.0534,-0.8723,0.918
0.107700,-0.4473,-0.0250,-1.2616,1.339
0.112321,-0.5725,-0.0072,-1.5638,1.665
0.116860,-0.6750,0.0238,-1.7669,1.892
0.122098,-0.7433,0.0653,-1.8274,1.974
0.127975,-0.7899,0.0905,-1.7619,1.933
0.132586,-0.8034,0.0988,-1.5556,1.754
0.137221,-0.7768,0.1060,-1.2229,1.453
0.140621,-0.7220,0.0947,-0.8429,1.114
0.145067,-0.6242,0.0833,-0.4949,0.801
0.149958,-0.5067,0.0593,-0.1841,0.542
0.154912,-0.3789,0.0271,0.1036,0.394
0.159903,-0.2546,0.0124,0.3801,0.458
0.165908,-0.1337,0.0221,0.6379,0.652
0.169068,-0.0063,0.0344,0.8387,0.839
0.174274,0.0968,0.0397,0.9415,0.947
0.178039,0.1665,0.0192,0.9726,0.987
0.182526,0.2149,-0.0055,0.9461,0.970
0.190488,0.2401,-0.0149,0.8641,0.897
0.191747,0.2566,-0.0158,0.7769,0.818
0.196550,0.2691,-0.0389,0.6939,0.745
0.202043,0.2825,-0.0673,0.6223,0.687
0.207263,0.2803,-0.0767,0.5140,0.590
0.210883,0.2508,-0.0811,0.3640,0.449
0.215196,0.2083,-0.0923,0.2035,0.305
0.219911,0.1527,-0.0977,0.0326,0.184
0.224651,0.0670,-0.0900,-0.1534,0.190
0.229126,-0.0515,-0.0903,-0.3350,0.351
0.234799,-0.1840,-0.0769,-0.4927,0.532
0.238799,-0.2830,-0.0544,-0.6265,0.690
0.245306,-0.3342,-0.0228,-0.7219,0.796
0.248219,-0.3357,0.0081,-0.7786,0.848
0.253931,-0.3356,0.0406,-0.8108,0.878
0.257480,-0.3196,0.0671,-0.7970,0.861
0.262812,-0.2734,0.0850,-0.7061,0.762
0.266822,-0.2116,0.0936,-0.5259,0.575
0.273780,-0.1173,0.1092,-0.3140,0.353
0.276536,-0.0098,0.1337,-0.1255,0.184
0.281030,0.1016,0.1475,0.0421,0.184
0.286131,0.2122,0.1458,0.1694,0.308
0.290616,0.2985,0.1357,0.2467,0.410
0.294961,0.3655,0.1172,0.3002,0.487
0.299705,0.4182,0.1001,0.3464,0.552
0.304781,0.4402,0.0822,0.3588,0.574
0.309441,0.4245,0.0636,0.3325,0.543
0.314185,0.3810,0.0520,0.2960,0.485
0.319515,0.3097,0.0379,0.2469,0.398
0.323436,0.2464,0.0143,0.1828,0.307
0.328632,0.2101,0.0006,0.1446,0.255
0.332307,0.1860,-0.0151,0.1182,0.221
0.337625,0.1504,-0.0328,0.0842,0.175
0.342617,0.1081,-0.0475,0.0308,0.122
0.346352,0.0640,-0.0449,-0.0494,0.092
0.352010,0.0107,-0.0298,-0.1202,0.124
0.356667,-0.0471,-0.0213,-0.1697,0.177
0.361804,-0.0905,-0.0099,-0.1976,0.218
0.365559,-0.1295,0.0115,-0.1917,0.232
0.369962,-0.1402,0.0356,-0.1735,0.226
0.375586,-0.1157,0.0552,-0.1643,0.208
0.379115,-0.1062,0.0726,-0.1451,0.194
0.384648,-0.1117,0.0997,-0.0991,0.180
0.389058,-0.1155,0.1076,-0.0550,0.167
0.395459,-0.0985,0.0986,-0.0198,0.141
0.398502,-0.0776,0.0848,0.0303,0.119
0.403561,-0.0622,0.0780,0.0596,0.116
0.407316,-0.0450,0.0805,0.0869,0.127
0.412521,-0.0188,0.0756,0.1386,0.159
0.416957,0.0093,0.0632,0.2001,0.210
0.421347,0.0037,0.0528,0.2475,0.253
0.426110,-0.0044,0.0420,0.2710,0.274
0.430824,0.0117,0.0239,0.2895,0.291
0.435249,0.0520,0.0127,0.3197,0.324
0.440019,0.0930,-0.0034,0.3493,0.361
0.444886,0.1135,-0.0292,0.3851,0.403
0.449524,0.1042,-0.0478,0.4053,0.421
0.454354,0.0918,-0.0493,0.4051,0.418
0.460155,0.0856,-0.0482,0.4131,0.425
0.464209,0.0521,-0.0515,0.3960,0.403
0.469640,0.0055,-0.0422,0.3372,0.340
0.473506,-0.0617,-0.0301,0.2753,0.284
0.477941,-0.1474,-0.0079,0.2177,0.263
0.482549,-0.2231,0.0123,0.1480,0.268
0.487140,-0.2727,0.0257,0.0834,0.286
0.491757,-0.2821,0.0464,0.0408,0.289
0.496740,-0.2778,0.0668,0.0395,0.288
0.501501,-0.2770,0.0870,0.0941,0.305
0.506283,-0.2865,0.0827,0.1661,0.341
0.511348,-0.2804,0.0609,0.2270,0.366
0.516015,-0.2249,0.0528,0.2695,0.355
0.520039,-0.1607,0.0366,0.2649,0.312
0.524999,-0.1235,0.0319,0.2322,0.265
0.528995,-0.1036,0.0339,0.1975,0.226
0.534028,-0.0929,0.0235,0.1668,0.192
0.538579,-0.0898,0.0298,0.1390,0.168
0.545130,-0.0871,0.0314,0.1117,0.145
0.547883,-0.0512,0.0142,0.1227,0.134
0.553363,0.0035,0.0020,0.1477,0.148
0.558071,0.0582,-0.0123,0.1698,0.180
0.562508,0.1060,-0.0243,0.2053,0.232
0.567476,0.1115,-0.0553,0.2422,0.272
0.572152,0.1011,-0.0742,0.2593,0.288
0.576422,0.0937,-0.0813,0.2543,0.283
0.581250,0.0798,-0.0932,0.1943,0.230
0.585775,0.0616,-0.0906,0.0917,0.143
0.590839,0.0011,-0.0805,-0.0315,0.086
0.594863,-0.0661,-0.0749,-0.1609,0.189
0.599526,-0.1307,-0.0687,-0.2438,0.285
0.604023,-0.1882,-0.0619,-0.2853,0.347
0.609780,-0.2223,-0.0642,-0.2878,0.369
0.613876,-0.2544,-0.0658,-0.2826,0.386
0.618370,-0.2775,-0.0622,-0.2959,0.410
0.622703,-0.2894,-0.0580,-0.3085,0.427
0.628663,-0.2685,-0.0557,-0.2801,0.392
0.633059,-0.2008,-0.0533,-0.1802,0.275
0.637787,-0.1293,-0.0368,-0.0264,0.137
0.641913,-0.0560,-0.0184,0.1500,0.161
