time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.000547,-0.7589,-0.1874,-1.9972,2.145
0.005395,-0.7280,-0.1724,-1.9556,2.094
0.009847,-0.6247,-0.1156,-1.7560,1.867
0.015937,-0.4923,-0.0366,-1.4506,1.532
0.019276,-0.3395,0.0209,-1.0958,1.147
0.024129,-0.1633,0.0771,-0.6235,0.649
0.029792,0.0492,0.1331,-0.1105,0.180
0.033715,0.2707,0.1779,0.3657,0.489
0.038607,0.4672,0.2005,0.7950,0.944
0.043377,0.6676,0.2228,1.1939,1.386
0.047600,0.8766,0.2448,1.6052,1.845
0.052808,1.0417,0.2395,1.9498,2.224
0.058908,1.1391,0.2066,2.1418,2.435
0.062193,1.1929,0.1630,2.2077,2.515
0.069050,1.1938,0.1283,2.1573,2.469
0.072182,1.0681,0.1056,1.9860,2.257
0.076264,0.8233,0.0862,1.7538,1.939
0.080580,0.5594,0.0805,1.4801,1.584
0.085302,0.3383,0.0850,1.1416,1.194
0.090226,0.1642,0.0531,0.7195,0.740
0.095782,0.0270,-0.0190,0.2382,0.240
0.100986,-0.0587,-0.0850,-0.2116,0.235
0.105292,-0.1140,-0.1138,-0.5800,0.602
0.109002,-0.1838,-0.1033,-0.7722,0.800
0.117277,-0.2587,-0.0409,-0.7940,0.836
0.119339,-0.3792,0.0687,-0.8116,0.898
0.126938,-0.5299,0.1781,-0.8815,1.044
0.127655,-0.6347,0.2614,-0.9891,1.204
0.132269,-0.6476,0.3165,-1.1251,1.336
0.138029,-0.5987,0.3840,-1.2400,1.430
0.141892,-0.5131,0.4423,-1.2773,1.446
0.146448,-0.3924,0.4648,-1.2448,1.386
0.150892,-0.2579,0.4680,-1.1477,1.266
0.159448,-0.0904,0.4657,-0.9598,1.071
0.160210,0.0812,0.4621,-0.6908,0.835
0.167602,0.2238,0.4542,-0.3794,0.633
0.169528,0.3283,0.4555,-0.0832,0.568
0.175206,0.3978,0.4607,0.1879,0.637
0.179809,0.4562,0.4598,0.4220,0.773
0.184472,0.5372,0.4475,0.5926,0.917
0.188838,0.6242,0.4263,0.6808,1.017
0.193206,0.6767,0.3982,0.6890,1.045
0.200933,0.6779,0.3543,0.6294,0.991
0.202691,0.6255,0.3068,0.5140,0.866
0.207208,0.5315,0.2634,0.3695,0.699
0.213205,0.3956,0.2439,0.2007,0.506
0.217570,0.2491,0.2581,0.0412,0.361
0.221528,0.1299,0.2728,-0.0779,0.312
0.226401,0.0522,0.2880,-0.1349,0.322
0.234677,0.0085,0.3088,-0.1251,0.333
0.235330,-0.0397,0.3181,-0.0916,0.333
0.239878,-0.0999,0.3397,-0.0580,0.359
0.244510,-0.1602,0.3473,-0.0195,0.383
0.251983,-0.2138,0.3336,0.0168,0.397
0.254863,-0.2440,0.3345,0.0439,0.416
0.259040,-0.2416,0.3544,0.0739,0.435
0.267083,-0.2137,0.3694,0.1020,0.439
0.267973,-0.1652,0.3791,0.1233,0.431
0.275679,-0.1077,0.4073,0.1425,0.445
