time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002221,-0.0053,0.0084,-0.3410,0.341
0.002787,0.0727,0.0019,-0.3144,0.323
0.006906,0.1156,-0.0138,-0.2552,0.280
0.011750,0.1092,-0.0270,-0.1657,0.200
0.016213,0.0750,-0.0259,-0.0843,0.116
0.020948,0.0295,-0.0250,-0.0273,0.047
0.025379,-0.0204,-0.0266,0.0221,0.040
0.029673,-0.0464,-0.0259,0.0404,0.067
0.035144,-0.0631,-0.0230,0.0419,0.079
0.039192,-0.0708,-0.0226,0.0460,0.087
0.044659,-0.0719,-0.0175,0.0502,0.089
0.049246,-0.0664,0.0017,0.0687,0.096
0.055934,-0.0568,0.0018,0.0706,0.091
0.058412,-0.0429,-0.0077,0.0631,0.077
0.065836,-0.0223,-0.0005,0.0699,0.073
0.067594,-0.0091,0.0018,0.0482,0.049
0.073832,-0.0079,0.0088,0.0244,0.027
0.076757,-0.0089,0.0157,0.0126,0.022
0.081454,-0.0051,0.0130,-0.0063,0.015
0.086802,0.0083,0.0152,-0.0132,0.022
0.091121,0.0265,0.0172,-0.0105,0.033
0.096240,0.0446,0.0216,-0.0221,0.054
0.100098,0.0580,0.0214,-0.0360,0.072
0.104667,0.0642,0.0187,-0.0404,0.078
0.110204,0.0609,0.0210,-0.0352,0.073
0.115965,0.0648,0.0279,-0.0325,0.078
0.119207,0.0781,0.0301,-0.0250,0.087
0.125418,0.0936,0.0299,-0.0081,0.099
0.129265,0.0877,0.0440,0.0016,0.098
0.132981,0.0746,0.0460,0.0016,0.088
0.137217,0.0640,0.0363,-0.0007,0.074
0.142061,0.0629,0.0196,0.0042,0.066
0.149460,0.0689,0.0196,0.0090,0.072
0.151798,0.0536,0.0315,0.0113,0.063
0.156363,0.0575,0.0290,0.0042,0.065
0.161685,0.0615,0.0147,-0.0006,0.063
0.166198,0.0560,0.0148,-0.0029,0.058
0.170520,0.0457,0.0221,-0.0053,0.051
0.174853,0.0309,0.0221,0.0066,0.039
0.182785,0.0330,0.0222,0.0184,0.044
0.184397,0.0304,0.0152,0.0182,0.039
0.189088,0.0136,0.0105,0.0132,0.022
0.194250,-0.0055,0.0011,0.0131,0.014
0.198215,-0.0292,-0.0010,0.0034,0.029
0.203517,-0.0526,-0.0007,0.0033,0.053
0.208192,-0.0665,-0.0147,0.0104,0.069
0.215875,-0.0851,-0.0333,0.0150,0.093
0.216984,-0.1060,-0.0422,0.0268,0.117
0.225485,-0.1197,-0.0392,0.0242,0.128
0.227336,-0.1238,-0.0480,0.0121,0.133
0.232747,-0.1278,-0.0473,0.0096,0.137
0.235955,-0.1270,-0.0395,0.0143,0.134
0.241302,-0.1168,-0.0413,0.0190,0.125
0.245493,-0.1019,-0.0408,0.0307,0.114
0.250020,-0.0895,-0.0380,0.0400,0.105
0.254596,-0.0772,-0.0352,0.0492,0.098
0.259750,-0.0674,-0.0325,0.0489,0.089
0.264188,-0.0529,-0.0393,0.0414,0.078
0.268783,-0.0434,-0.0414,0.0435,0.074
0.273644,-0.0316,-0.0316,0.0457,0.064
0.278465,-0.0200,-0.0243,0.0335,0.046
0.283580,-0.0109,-0.0194,0.0286,0.036
0.287301,0.0030,-0.0075,0.0214,0.023
0.293034,0.0121,0.0090,0.0095,0.018
0.297136,0.0164,0.0207,-0.0000,0.026
