time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001999,-1.0931,0.4230,-0.4313,1.249
0.002502,-1.0720,0.4124,-0.4701,1.241
0.005858,-0.9520,0.3510,-0.4785,1.122
0.012045,-0.7763,0.2765,-0.4117,0.921
0.017469,-0.5789,0.1718,-0.2729,0.663
0.019630,-0.3620,0.0768,-0.0891,0.381
0.027941,-0.1402,-0.0018,0.1346,0.194
0.029169,0.0582,-0.0692,0.3403,0.352
0.034613,0.2263,-0.1209,0.4709,0.536
0.040037,0.3742,-0.1523,0.5002,0.643
0.044934,0.4737,-0.1679,0.4144,0.651
0.047837,0.5063,-0.1841,0.2568,0.597
0.053379,0.5176,-0.1980,0.0612,0.558
0.058106,0.5104,-0.2115,-0.1579,0.575
0.061940,0.4799,-0.2289,-0.3550,0.639
0.070200,0.4430,-0.2428,-0.5209,0.726
0.072232,0.3925,-0.2412,-0.6035,0.759
0.079030,0.3263,-0.2312,-0.5608,0.689
0.081649,0.2826,-0.2248,-0.4153,0.550
0.087036,0.3014,-0.1959,-0.2084,0.415
0.090699,0.3942,-0.1287,-0.0428,0.417
0.094900,0.5224,-0.0473,0.0483,0.527
0.099632,0.6265,0.0453,0.0654,0.632
0.105197,0.6639,0.1300,0.0496,0.678
0.109272,0.6277,0.1971,0.0325,0.659
0.113794,0.5494,0.2349,0.0268,0.598
0.118530,0.4646,0.2480,0.0282,0.527
0.123154,0.4136,0.2651,0.0346,0.492
0.127709,0.3723,0.2743,0.0203,0.463
0.133277,0.2954,0.2732,0.0094,0.402
0.137066,0.1878,0.2575,0.0356,0.321
0.141473,0.0474,0.2275,0.1035,0.254
0.147400,-0.0971,0.1837,0.1913,0.282
0.150902,-0.2170,0.1121,0.2725,0.366
0.156666,-0.2981,0.0368,0.3421,0.455
0.161887,-0.3361,-0.0112,0.4189,0.537
0.166406,-0.3619,-0.0465,0.5214,0.636
0.169632,-0.3756,-0.0670,0.6517,0.755
0.175078,-0.3608,-0.0943,0.7881,0.872
0.179221,-0.2842,-0.1096,0.8875,0.938
0.186727,-0.1821,-0.0942,0.9691,0.991
0.188747,-0.0950,-0.0699,1.0187,1.026
