time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002974,-0.3805,-0.4832,-0.2192,0.653
0.003515,-0.3641,-0.5047,-0.2467,0.669
0.008520,-0.3124,-0.5207,-0.2708,0.665
0.012729,-0.2424,-0.5075,-0.2442,0.613
0.017175,-0.1897,-0.4844,-0.1984,0.557
0.023908,-0.1801,-0.4703,-0.1837,0.536
0.027205,-0.1918,-0.4225,-0.1762,0.496
0.031120,-0.2127,-0.3370,-0.1477,0.425
0.035834,-0.2331,-0.2283,-0.0986,0.341
0.040634,-0.2579,-0.1158,-0.0505,0.287
0.047879,-0.2820,-0.0352,-0.0108,0.284
0.050235,-0.2937,-0.0050,0.0184,0.294
0.054961,-0.3121,-0.0107,0.0443,0.315
0.060283,-0.3418,-0.0422,0.0597,0.350
0.064270,-0.3520,-0.0591,0.0295,0.358
0.069405,-0.3501,-0.0400,-0.0198,0.353
0.073446,-0.3717,0.0003,-0.0144,0.372
0.078144,-0.3502,0.0876,0.0426,0.364
0.082888,-0.2716,0.2186,0.0980,0.362
0.087701,-0.1764,0.3359,0.0804,0.388
0.093404,-0.0697,0.4276,-0.0310,0.434
0.097578,0.0221,0.4700,-0.1664,0.499
0.102116,0.0753,0.4494,-0.2796,0.535
0.107166,0.0946,0.3713,-0.3777,0.538
0.113971,0.1396,0.2146,-0.4535,0.521
0.116338,0.2318,-0.0293,-0.4695,0.524
0.120356,0.3163,-0.3238,-0.5099,0.682
0.125995,0.4314,-0.5925,-0.6838,1.002
0.131314,0.4976,-0.6911,-0.4047,0.943
0.135337,0.3276,-0.6091,0.2389,0.732
0.139652,-0.0244,-0.4872,0.5983,0.772
0.144423,-0.4068,-0.3800,0.7177,0.908
0.149370,-0.6955,-0.2962,0.6841,1.020
0.152889,-0.8815,-0.2542,0.5576,1.074
0.158428,-1.0268,-0.2933,0.2695,1.101
0.163045,-1.0295,-0.4128,0.1292,1.117
0.167677,-0.8712,-0.5594,0.2606,1.068
0.172794,-0.7901,-0.6588,0.2566,1.060
0.177384,-1.0599,-0.6803,-0.1388,1.267
0.181245,-1.9096,-0.6504,-1.0983,2.297
0.185955,-2.3636,-0.5700,-1.7500,2.996
0.190741,-1.9607,-0.4363,-1.6990,2.631
0.197945,-1.4143,-0.2804,-1.5574,2.122
0.199986,-0.8053,-0.1188,-1.4093,1.627
0.204741,-0.1924,0.0395,-1.3462,1.360
0.210207,0.3477,0.2020,-1.3881,1.445
0.214038,0.7862,0.3957,-1.3817,1.638
0.218554,1.1114,0.5648,-1.2481,1.764
0.223424,1.3425,0.6733,-1.0327,1.823
0.230499,1.4870,0.7357,-0.7900,1.838
0.232597,1.5710,0.7413,-0.5576,1.824
0.237285,1.6016,0.6662,-0.3861,1.777
0.242635,1.5846,0.4897,-0.3083,1.687
0.247893,1.4783,0.2154,-0.3282,1.530
0.252441,1.3022,-0.1213,-0.4428,1.381
0.256036,1.1994,-0.6095,-0.6791,1.507
0.261388,1.0468,-0.9185,-0.8480,1.631
0.265458,0.6382,-0.8644,-0.5414,1.203
0.272343,0.0880,-0.7036,-0.0955,0.716
0.274877,-0.2586,-0.4460,-0.0450,0.517
0.280158,-0.2539,-0.1780,-0.1332,0.337
0.285310,-0.2316,0.0233,-0.0116,0.233
0.289649,-0.4153,0.1572,0.2377,0.504
0.293992,-0.6077,0.2423,0.4713,0.806
0.298442,-0.6125,0.2947,0.6301,0.927
0.303024,-0.4672,0.2878,0.6978,0.888
0.307815,-0.3045,0.2142,0.7021,0.795
0.312648,-0.1846,0.1387,0.6629,0.702
0.318135,-0.0561,0.0930,0.6834,0.692
0.323105,0.0003,0.0437,0.8672,0.868
0.326870,-0.0759,0.0428,1.0942,1.098
0.331263,-0.1217,0.1618,1.4164,1.431
0.335751,-0.1152,0.2911,1.7808,1.808
0.340869,-0.1309,0.2037,1.6456,1.663
0.345112,-0.0257,0.0291,1.1467,1.147
0.350786,0.1843,-0.0773,0.7921,0.817
0.354812,0.3627,-0.2282,0.5768,0.719
0.359325,0.5589,-0.3353,0.4639,0.800
0.364224,0.6804,-0.3463,0.3889,0.857
0.368579,0.6738,-0.3209,0.2747,0.795
0.373479,0.7361,-0.3669,0.0383,0.823
0.378113,0.9142,-0.5125,-0.5099,1.166
0.383110,0.5752,-0.4850,-0.4933,0.900
0.387714,-0.0172,-0.2604,-0.0031,0.261
0.392156,-0.2075,0.0178,0.1615,0.264
0.397160,-0.1711,0.3165,0.3965,0.535
0.402003,-0.0469,0.5529,0.7527,0.935
0.406166,0.0456,0.6370,0.9981,1.185
0.411491,0.1060,0.6387,1.2661,1.422
0.415407,0.1225,0.6018,1.5616,1.678
0.420679,0.0185,0.4836,1.6654,1.734
0.425795,-0.3327,0.3454,1.6862,1.753
0.429675,-0.9606,0.3159,1.6366,1.924
0.434745,-1.6007,0.4060,1.6247,2.317
0.439514,-1.9393,0.5487,1.5944,2.570
0.444664,-2.0508,0.6958,1.3968,2.577
0.448357,-2.0676,0.7873,1.1069,2.474
0.453271,-1.9971,0.8319,0.7107,2.277
0.458156,-1.8114,0.8334,0.2137,2.005
0.462620,-1.4681,0.7931,-0.3212,1.699
0.468347,-1.1303,0.7292,-0.6787,1.507
0.471810,-0.8025,0.6269,-0.8884,1.351
0.477890,-0.3985,0.4522,-1.1264,1.277
0.481381,0.0125,0.2169,-1.3860,1.403
0.485981,0.2967,-0.0336,-1.6364,1.663
0.491004,0.4494,-0.2965,-1.8391,1.916
0.495777,0.5303,-0.5336,-1.9676,2.106
0.500040,0.5634,-0.6950,-2.0095,2.200
0.505329,0.6030,-0.7770,-1.9859,2.216
0.509960,0.6822,-0.7908,-1.9518,2.214
0.514389,0.8483,-0.7691,-1.8933,2.213
0.518846,1.0965,-0.7634,-1.7467,2.199
0.523475,1.3810,-0.7868,-1.5009,2.186
0.529024,1.6658,-0.8134,-1.1563,2.185
0.532725,1.9318,-0.8191,-0.7106,2.215
0.537479,2.0834,-0.7985,-0.2566,2.246
0.543404,2.0034,-0.7150,0.1372,2.132
0.546687,1.6729,-0.5293,0.4892,1.822
0.552801,1.1972,-0.2931,0.7745,1.456
0.556045,0.7268,-0.0560,0.9875,1.227
0.561260,0.3546,0.1847,1.1366,1.205
0.566355,0.0731,0.3815,1.1863,1.248
0.570447,-0.1511,0.5179,1.1348,1.257
0.575442,-0.2944,0.5798,0.9940,1.188
0.580675,-0.3231,0.5507,0.8285,1.046
0.585011,-0.2806,0.4738,0.6837,0.878
0.589003,-0.2193,0.3826,0.5714,0.722
0.595527,-0.1442,0.2897,0.4587,0.561
0.599381,-0.0616,0.2769,0.2582,0.384
0.603127,0.0018,0.3325,-0.0357,0.334
0.608741,-0.1228,0.3606,-0.2794,0.472
0.612944,-0.3194,0.3537,-0.4063,0.626
0.618004,-0.3604,0.3086,-0.5018,0.691
