time,gFx,gFy,gFz,TgF
0.00171323,-0.7666,-0.1940,0.3322,0.858
0.002285261,-0.7666,-0.1879,0.3493,0.863
0.00269224,-0.7703,-0.1798,0.3672,0.872
0.003072813,-0.7761,-0.1732,0.3850,0.884
0.007523698,-0.7818,-0.1710,0.3999,0.895
0.008049011,-0.7862,-0.1713,0.4111,0.904
0.009780157,-0.7920,-0.1727,0.4207,0.913
0.016063334,-0.8006,-0.1754,0.4287,0.925
0.016574532,-0.8096,-0.1776,0.4388,0.938
0.016968386,-0.8184,-0.1791,0.4507,0.951
0.019354792,-0.8250,-0.1805,0.4624,0.963
0.021788386,-0.8301,-0.1810,0.4729,0.972
0.023587396,-0.8370,-0.1803,0.4820,0.983
0.025933021,-0.8440,-0.1788,0.4901,0.992
0.028784948,-0.8506,-0.1771,0.4976,1.001
0.033143386,-0.8567,-0.1759,0.5050,1.010
0.03368875,-0.8646,-0.1732,0.5108,1.019
0.035280313,-0.8721,-0.1710,0.5189,1.029
0.037892136,-0.8782,-0.1693,0.5267,1.038
0.040891511,-0.8829,-0.1681,0.5313,1.044
0.04245823,-0.8853,-0.1681,0.5357,1.048
0.045516927,-0.8873,-0.1664,0.5396,1.052
0.049537084,-0.8873,-0.1664,0.5416,1.053
0.050052761,-0.8856,-0.1686,0.5431,1.052
0.052077292,-0.8856,-0.1698,0.5438,1.053
0.054161355,-0.8856,-0.1720,0.5423,1.053
0.056232605,-0.8838,-0.1747,0.5396,1.050
0.058705052,-0.8819,-0.1747,0.5345,1.046
0.061307657,-0.8807,-0.1747,0.5289,1.042
0.066299636,-0.8777,-0.1742,0.5247,1.037
0.06682375,-0.8743,-0.1725,0.5211,1.032
0.067924427,-0.8721,-0.1722,0.5160,1.028
0.070909792,-0.8709,-0.1703,0.5108,1.024
0.073538334,-0.8690,-0.1683,0.5055,1.019
0.075274688,-0.8677,-0.1669,0.5006,1.016
0.078948802,-0.8668,-0.1664,0.4976,1.013
0.082965365,-0.8670,-0.1664,0.4940,1.012
0.083471771,-0.8677,-0.1647,0.4901,1.010
0.084183177,-0.8672,-0.1627,0.4874,1.008
0.08744323,-0.8668,-0.1608,0.4832,1.005
0.089315782,-0.8655,-0.1598,0.4788,1.002
0.091489636,-0.8643,-0.1600,0.4778,1.000
0.094842448,-0.8638,-0.1590,0.4761,0.999
0.099816875,-0.8629,-0.1571,0.4739,0.997
0.1004525,-0.8609,-0.1573,0.4710,0.994
0.100840261,-0.8589,-0.1571,0.4686,0.991
0.103654323,-0.8577,-0.1549,0.4693,0.990
0.108634375,-0.8577,-0.1542,0.4703,0.990
0.109366302,-0.8580,-0.1542,0.4703,0.990
0.1107025,-0.8585,-0.1534,0.4710,0.991
0.113029792,-0.8589,-0.1537,0.4732,0.993
0.115381459,-0.8587,-0.1542,0.4759,0.994
0.118271667,-0.8587,-0.1534,0.4761,0.994
0.120195469,-0.8589,-0.1544,0.4759,0.994
0.12556125,-0.8599,-0.1571,0.4776,0.996
0.126235417,-0.8616,-0.1598,0.4798,0.999
0.126616719,-0.8638,-0.1610,0.4810,1.002
0.133549948,-0.8670,-0.1600,0.4825,1.005
0.13421,-0.8687,-0.1605,0.4859,1.008
0.134564271,-0.8704,-0.1620,0.4896,1.012
0.136317917,-0.8731,-0.1637,0.4925,1.016
0.141937969,-0.8731,-0.1639,0.4964,1.018
0.142651719,-0.8736,-0.1634,0.4993,1.019
0.143024792,-0.8751,-0.1637,0.5020,1.022
0.145953959,-0.8755,-0.1644,0.5042,1.024
0.148168073,-0.8773,-0.1654,0.5059,1.026
0.150329219,-0.8790,-0.1654,0.5057,1.027
0.152287292,-0.8792,-0.1659,0.5062,1.028
0.155247396,-0.8802,-0.1664,0.5079,1.030
0.159024011,-0.8807,-0.1661,0.5081,1.030
0.159657448,-0.8804,-0.1669,0.5069,1.030
0.162898542,-0.8814,-0.1678,0.5055,1.030
0.163941615,-0.8797,-0.1678,0.5040,1.028
0.166813594,-0.8773,-0.1669,0.5018,1.024
0.16833474,-0.8760,-0.1651,0.5006,1.022
0.171011927,-0.8746,-0.1639,0.4989,1.020
0.173527448,-0.8731,-0.1625,0.4952,1.017
0.176292917,-0.8714,-0.1605,0.4901,1.013
0.179265261,-0.8692,-0.1578,0.4864,1.008
0.183538386,-0.8670,-0.1578,0.4832,1.005
0.184107865,-0.8650,-0.1571,0.4783,1.001
0.184586615,-0.8626,-0.1559,0.4737,0.996
0.187924323,-0.8599,-0.1561,0.4708,0.993
0.190056719,-0.8572,-0.1564,0.4678,0.989
0.191918854,-0.8533,-0.1568,0.4642,0.984
0.194563177,-0.8502,-0.1573,0.4605,0.980
0.200450886,-0.8475,-0.1593,0.4590,0.977
0.201168542,-0.8467,-0.1600,0.4593,0.976
0.201542448,-0.8467,-0.1603,0.4588,0.976
0.204098073,-0.8450,-0.1615,0.4598,0.975
