time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.000660,-0.0094,0.0039,-0.3742,0.374
0.008054,0.0154,0.0043,-0.3025,0.303
0.015063,0.0311,0.0051,-0.2055,0.208
0.016099,0.0329,-0.0013,-0.1046,0.110
0.019244,0.0324,-0.0054,-0.0354,0.048
0.023601,0.0177,-0.0049,0.0285,0.034
0.028640,0.0005,-0.0093,0.0848,0.085
0.032703,-0.0077,-0.0140,0.1195,0.121
0.038551,-0.0256,-0.0070,0.1302,0.133
0.042498,-0.0368,-0.0074,0.1196,0.125
0.047032,-0.0269,-0.0031,0.1021,0.106
0.051290,-0.0175,0.0057,0.0705,0.073
0.056350,-0.0154,0.0026,0.0559,0.058
0.060735,-0.0014,-0.0004,0.0295,0.030
0.065401,0.0029,-0.0034,-0.0085,0.010
0.070239,-0.0045,-0.0038,-0.0249,0.026
0.074982,0.0097,0.0005,-0.0270,0.029
0.079574,0.0168,0.0025,-0.0314,0.036
0.085003,0.0217,0.0044,-0.0406,0.046
0.089124,0.0387,-0.0103,-0.0427,0.059
0.093833,0.0391,-0.0082,-0.0282,0.049
0.098310,0.0373,-0.0013,-0.0185,0.042
0.105467,0.0356,-0.0135,-0.0185,0.042
0.108070,0.0270,-0.0280,-0.0114,0.041
0.112826,0.0185,-0.0329,0.0028,0.038
0.117459,0.0124,-0.0354,0.0050,0.038
0.122236,-0.0008,-0.0379,0.0025,0.038
0.128890,-0.0188,-0.0333,0.0166,0.042
0.131723,-0.0200,-0.0193,0.0259,0.038
0.135811,-0.0237,-0.0151,0.0280,0.040
0.140516,-0.0348,-0.0203,0.0278,0.049
0.145122,-0.0435,-0.0184,0.0157,0.050
0.150170,-0.0451,-0.0141,0.0156,0.050
0.154681,-0.0540,-0.0099,0.0155,0.057
0.160766,-0.0581,-0.0033,0.0013,0.058
0.164059,-0.0456,-0.0040,-0.0034,0.046
0.168743,-0.0499,-0.0069,-0.0033,0.050
0.173237,-0.0398,0.0044,-0.0032,0.040
0.179222,-0.0178,0.0227,-0.0031,0.029
0.182724,-0.0102,0.0291,-0.0054,0.031
0.187589,0.0117,0.0259,-0.0077,0.029
0.192122,0.0407,0.0275,-0.0076,0.050
0.196787,0.0459,0.0363,-0.0029,0.059
0.202135,0.0490,0.0401,0.0066,0.064
0.206243,0.0475,0.0368,0.0088,0.061
0.210754,0.0390,0.0382,0.0300,0.062
0.215809,0.0330,0.0443,0.0462,0.072
0.220037,0.0174,0.0504,0.0481,0.072
0.224947,-0.0005,0.0444,0.0523,0.069
0.229889,-0.0186,0.0361,0.0472,0.062
0.235540,-0.0391,0.0301,0.0468,0.068
0.239233,-0.0549,0.0194,0.0394,0.070
0.244090,-0.0613,0.0158,0.0036,0.063
0.248440,-0.0774,0.0121,-0.0389,0.087
0.252906,-0.0793,0.0039,-0.0669,0.104
0.257844,-0.0672,-0.0089,-0.0898,0.112
0.262684,-0.0600,-0.0120,-0.1126,0.128
0.267371,-0.0482,-0.0172,-0.1233,0.133
0.271905,-0.0319,-0.0151,-0.1078,0.113
0.277240,-0.0300,-0.0128,-0.0972,0.103
0.281666,-0.0207,-0.0033,-0.0939,0.096
0.285738,-0.0021,0.0135,-0.0669,0.068
0.290350,0.0069,0.0159,-0.0426,0.046
0.296938,0.0159,0.0113,-0.0327,0.038
0.299879,0.0226,0.0186,-0.0205,0.036
0.304877,0.0269,0.0307,-0.0109,0.042
0.309801,0.0217,0.0379,-0.0179,0.047
0.313806,0.0165,0.0378,-0.0178,0.045
0.318719,0.0161,0.0236,-0.0010,0.029
0.323615,0.0062,0.0071,0.0132,0.016
0.327958,0.0082,-0.0022,0.0202,0.022
0.332875,0.0151,-0.0067,0.0058,0.017
0.337517,0.0077,-0.0113,-0.0085,0.016
0.342326,-0.0042,-0.0206,-0.0180,0.028
0.346844,-0.0135,-0.0392,-0.0250,0.048
0.352005,-0.0108,-0.0411,-0.0296,0.052
0.356197,-0.0129,-0.0407,-0.0294,0.052
0.360934,-0.0174,-0.0403,-0.0173,0.047
0.365852,-0.0265,-0.0399,-0.0101,0.049
0.370052,-0.0261,-0.0538,-0.0077,0.060
0.375423,-0.0281,-0.0557,0.0042,0.063
0.379693,-0.0397,-0.0504,0.0041,0.064
0.384289,-0.0395,-0.0499,0.0136,0.065
0.389378,-0.0276,-0.0565,0.0278,0.069
