time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002807,-0.3235,0.2285,-0.2734,0.481
0.003483,-0.2682,0.2317,-0.2468,0.432
0.006288,-0.1672,0.2335,-0.1778,0.338
0.010547,-0.0393,0.2137,-0.0897,0.235
0.014046,0.1129,0.1581,0.0149,0.195
0.020592,0.2443,0.0811,0.1145,0.282
0.024308,0.3080,0.0067,0.1967,0.366
0.029643,0.3243,-0.0438,0.2967,0.442
0.033948,0.3177,-0.0684,0.4163,0.528
0.039716,0.2936,-0.0815,0.5194,0.602
0.042212,0.2545,-0.0996,0.5657,0.628
0.046890,0.2054,-0.1298,0.5414,0.593
0.054354,0.1251,-0.1645,0.4350,0.482
0.056963,0.0016,-0.1892,0.2808,0.339
0.061092,-0.1341,-0.1942,0.1437,0.276
0.067242,-0.2493,-0.1725,0.0857,0.315
0.072396,-0.3330,-0.1080,0.0998,0.364
0.075619,-0.3765,-0.0272,0.1429,0.404
0.081284,-0.4113,0.0317,0.1987,0.458
0.088255,-0.4137,0.0875,0.2147,0.474
0.089698,-0.3554,0.1332,0.1864,0.423
0.095780,-0.2837,0.1568,0.1349,0.351
0.098549,-0.2318,0.1632,0.0864,0.296
0.103680,-0.1849,0.1450,0.0571,0.242
0.108575,-0.1288,0.1169,0.0542,0.182
0.112563,-0.0495,0.1074,0.0513,0.129
0.120989,0.0244,0.1019,0.0057,0.105
0.121955,0.0547,0.0866,-0.0726,0.126
0.130128,0.0466,0.0735,-0.1666,0.188
0.131433,0.0237,0.0676,-0.2594,0.269
0.139859,-0.0018,0.0477,-0.3366,0.340
0.142252,-0.0256,0.0403,-0.3959,0.399
0.145851,-0.0331,0.0405,-0.4279,0.431
0.154395,-0.0577,0.0270,-0.4023,0.407
0.154979,-0.0965,0.0118,-0.3079,0.323
0.160042,-0.1230,-0.0029,-0.1359,0.183
0.165194,-0.1232,-0.0080,0.0963,0.157
0.168886,-0.0829,-0.0085,0.3266,0.337
0.174537,-0.0261,-0.0092,0.4763,0.477
0.179056,0.0429,-0.0223,0.5243,0.527
0.184798,0.1103,-0.0357,0.4995,0.513
0.187707,0.1596,-0.0425,0.4332,0.464
0.196388,0.2029,-0.0404,0.3540,0.410
0.197086,0.2236,-0.0269,0.2884,0.366
0.205085,0.2022,-0.0022,0.2083,0.290
0.206774,0.1505,0.0195,0.1166,0.191
0.211188,0.0827,0.0362,0.0161,0.092
0.216766,0.0032,0.0669,-0.0689,0.096
0.222304,-0.0738,0.0833,-0.0862,0.141
0.225607,-0.1508,0.0877,-0.0768,0.191
0.230963,-0.2110,0.0921,-0.0621,0.238
0.238037,-0.2309,0.1015,-0.0447,0.256
0.239307,-0.2084,0.1134,-0.0508,0.243
0.243959,-0.1697,0.1019,-0.0874,0.216
0.248567,-0.1219,0.0861,-0.1260,0.195
0.254161,-0.0838,0.0685,-0.1692,0.201
0.260185,-0.0458,0.0563,-0.2099,0.222
0.262795,-0.0080,0.0611,-0.2409,0.249
0.271918,0.0154,0.0686,-0.2574,0.267
