time,gFx,gFy,gFz,TgF
0.001473021,0.0391,-0.1287,0.9408,0.950
0.001825468,0.0401,-0.1290,0.9337,0.943
0.002271406,0.0403,-0.1280,0.9295,0.939
0.004847552,0.0403,-0.1275,0.9278,0.937
0.006932448,0.0401,-0.1292,0.9291,0.939
0.009743593,0.0386,-0.1309,0.9347,0.945
0.017374166,0.0367,-0.1307,0.9435,0.953
0.01776375,0.0352,-0.1302,0.9537,0.963
0.017965052,0.0332,-0.1307,0.9628,0.972
0.018515989,0.0313,-0.1307,0.9713,0.981
0.023141927,0.0286,-0.1322,0.9801,0.989
0.023527552,0.0315,-0.1331,0.9901,1.000
0.025569166,0.0364,-0.1339,0.9994,1.009
0.029495364,0.0393,-0.1336,1.0072,1.017
0.03052625,0.0406,-0.1339,1.0131,1.023
0.03257875,0.0406,-0.1341,1.0158,1.025
0.03481026,0.0406,-0.1344,1.0177,1.027
0.037630937,0.0362,-0.1346,1.0204,1.030
0.039680521,0.0296,-0.1336,1.0236,1.033
0.041969375,0.0244,-0.1339,1.0280,1.037
0.044927396,0.0190,-0.1336,1.0331,1.042
0.048619583,0.0139,-0.1344,1.0361,1.045
0.049068958,0.0105,-0.1351,1.0387,1.048
0.051295052,0.0081,-0.1363,1.0378,1.047
0.054028541,0.0073,-0.1380,1.0329,1.042
0.055953385,0.0085,-0.1383,1.0285,1.038
0.058167552,0.0100,-0.1405,1.0241,1.034
0.06083526,0.0110,-0.1434,1.0204,1.031
0.063098333,0.0122,-0.1434,1.0173,1.027
0.065224062,0.0142,-0.1424,1.0151,1.025
0.067607448,0.0156,-0.1427,1.0121,1.022
0.071226041,0.0151,-0.1417,1.0099,1.020
0.072487968,0.0134,-0.1397,1.0082,1.018
0.07462776,0.0122,-0.1387,1.0082,1.018
0.076784114,0.0127,-0.1392,1.0068,1.016
0.079534375,0.0120,-0.1378,1.0036,1.013
0.081568593,0.0100,-0.1348,1.0026,1.012
0.083758073,0.0090,-0.1334,1.0024,1.011
0.087632916,0.0093,-0.1326,1.0021,1.011
0.08877151,0.0090,-0.1317,1.0014,1.010
0.09107427,0.0088,-0.1319,1.0009,1.010
0.093155885,0.0088,-0.1317,1.0011,1.010
0.095784531,0.0088,-0.1295,0.9994,1.008
0.098014166,0.0078,-0.1287,0.9987,1.007
0.100382864,0.0083,-0.1278,1.0001,1.008
0.103692604,0.0103,-0.1280,1.0004,1.009
0.105137812,0.0110,-0.1302,1.0009,1.009
0.107305729,0.0120,-0.1300,1.0016,1.010
0.109825312,0.0132,-0.1292,1.0014,1.010
0.112172552,0.0115,-0.1314,1.0014,1.010
0.114498645,0.0105,-0.1322,1.0009,1.010
0.116563437,0.0107,-0.1336,0.9999,1.009
0.121002812,0.0103,-0.1365,0.9992,1.008
0.121466458,0.0093,-0.1378,0.9979,1.007
0.123637343,0.0071,-0.1390,0.9984,1.008
0.125918281,0.0049,-0.1395,0.9987,1.008
0.128748645,0.0032,-0.1385,0.9982,1.008
0.13226927,0.0010,-0.1385,0.9982,1.008
0.133073125,-0.0005,-0.1405,0.9987,1.008
0.13562302,-0.0022,-0.1424,0.9994,1.009
0.137917448,-0.0044,-0.1437,0.9989,1.009
0.139976354,-0.0061,-0.1437,0.9979,1.008
0.142219375,-0.0068,-0.1427,0.9989,1.009
0.145294479,-0.0068,-0.1419,1.0004,1.010
0.148427708,-0.0068,-0.1427,1.0018,1.012
0.149521145,-0.0056,-0.1434,1.0038,1.014
0.151844427,-0.0049,-0.1434,1.0046,1.015
0.154788698,-0.0042,-0.1422,1.0058,1.016
0.156563645,-0.0032,-0.1402,1.0085,1.018
0.158639895,-0.0027,-0.1392,1.0097,1.019
0.161665885,-0.0015,-0.1390,1.0104,1.020
0.16467,-0.0005,-0.1370,1.0104,1.020
0.165644375,0.0010,-0.1353,1.0099,1.019
0.167994479,0.0049,-0.1356,1.0129,1.022
0.170927656,0.0083,-0.1346,1.0138,1.023
0.173036145,0.0103,-0.1326,1.0124,1.021
0.175028177,0.0122,-0.1309,1.0129,1.021
0.177643073,0.0137,-0.1302,1.0112,1.020
0.180607031,0.0156,-0.1297,1.0092,1.018
0.182034166,0.0176,-0.1285,1.0097,1.018
0.184526927,0.0200,-0.1300,1.0082,1.017
0.190248541,0.0212,-0.1309,1.0055,1.014
0.190642083,0.0225,-0.1292,1.0038,1.012
0.191363229,0.0239,-0.1270,1.0031,1.011
0.193577708,0.0256,-0.1285,1.0001,1.009
0.196226406,0.0276,-0.1304,0.9992,1.008
0.198355833,0.0286,-0.1312,0.9996,1.009
0.200740677,0.0301,-0.1324,0.9979,1.007
0.203695885,0.0286,-0.1344,0.9950,1.004
0.205661823,0.0271,-0.1363,0.9945,1.004
0.207729323,0.0278,-0.1385,0.9935,1.004
0.210204635,0.0278,-0.1397,0.9938,1.004
0.212854687,0.0266,-0.1397,0.9952,1.005
0.214908177,0.0254,-0.1414,0.9938,1.004
0.217134687,0.0239,-0.1431,0.9935,1.004
0.220246979,0.0215,-0.1422,0.9943,1.005
0.221986718,0.0198,-0.1422,0.9960,1.006
0.224031562,0.0183,-0.1449,0.9967,1.007
0.226277083,0.0164,-0.1466,0.9962,1.007
0.228895468,0.0139,-0.1449,0.9974,1.008
0.231282187,0.0125,-0.1444,0.9974,1.008
0.233414895,0.0107,-0.1456,0.9977,1.008
0.235974114,0.0093,-0.1454,0.9989,1.009
0.238232343,0.0085,-0.1449,0.9999,1.010
0.240475781,0.0071,-0.1434,1.0014,1.012
0.242655885,0.0059,-0.1437,1.0024,1.013
0.245359531,0.0051,-0.1441,1.0031,1.013
0.247411666,0.0044,-0.1419,1.0038,1.014
0.250067708,0.0042,-0.1405,1.0041,1.014
0.252350104,0.0039,-0.1407,1.0055,1.015
0.254674843,0.0044,-0.1400,1.0065,1.016
0.256748698,0.0046,-0.1387,1.0075,1.017
0.258986666,0.0049,-0.1373,1.0082,1.018
0.261759114,0.0056,-0.1365,1.0065,1.016
0.26492552,0.0046,-0.1361,1.0077,1.017
0.26621875,0.0051,-0.1346,1.0109,1.020
0.26846,0.0063,-0.1339,1.0107,1.020
0.271029427,0.0068,-0.1322,1.0102,1.019
0.273159583,0.0068,-0.1307,1.0104,1.019
0.275424791,0.0063,-0.1302,1.0094,1.018
0.281693229,0.0073,-0.1290,1.0097,1.018
0.282073854,0.0085,-0.1295,1.0092,1.018
0.282567448,0.0090,-0.1295,1.0075,1.016
0.284655573,0.0098,-0.1285,1.0075,1.016
0.287234687,0.0107,-0.1285,1.0070,1.015
0.289585989,0.0110,-0.1278,1.0048,1.013
0.2918225,0.0122,-0.1275,1.0031,1.011
0.295345885,0.0137,-0.1278,1.0024,1.011
0.298357187,0.0142,-0.1278,1.0021,1.010
0.298934062,0.0151,-0.1290,1.0028,1.011
0.301078854,0.0154,-0.1282,1.0021,1.010
0.303975312,0.0151,-0.1285,1.0009,1.009
0.306444427,0.0142,-0.1297,1.0014,1.010
0.30813427,0.0129,-0.1300,1.0016,1.010
0.310878281,0.0137,-0.1324,1.0014,1.010
0.31306625,0.0139,-0.1322,1.0024,1.011
0.31540677,0.0132,-0.1309,1.0033,1.012
0.317355416,0.0134,-0.1331,1.0036,1.012
0.320603229,0.0129,-0.1348,1.0036,1.013
0.322274635,0.0132,-0.1351,1.0033,1.012
0.324576354,0.0139,-0.1344,1.0036,1.013
0.326704635,0.0132,-0.1344,1.0038,1.013
0.329529479,0.0129,-0.1356,1.0053,1.014
0.331676145,0.0139,-0.1368,1.0046,1.014
0.333750833,0.0149,-0.1363,1.0041,1.013
0.336902031,0.0154,-0.1361,1.0046,1.014
0.338810468,0.0173,-0.1353,1.0043,1.014
0.34082427,0.0171,-0.1346,1.0053,1.014
0.34308427,0.0166,-0.1344,1.0065,1.016
0.345794791,0.0171,-0.1344,1.0063,1.015
0.348015781,0.0181,-0.1356,1.0060,1.015
0.350212031,0.0190,-0.1351,1.0058,1.015
0.352670052,0.0198,-0.1334,1.0065,1.016
0.354984947,0.0193,-0.1329,1.0080,1.017
0.357225312,0.0188,-0.1319,1.0070,1.016
0.359492187,0.0181,-0.1309,1.0063,1.015
0.362428645,0.0173,-0.1302,1.0070,1.016
0.364645364,0.0178,-0.1300,1.0075,1.016
0.366523385,0.0171,-0.1290,1.0068,1.015
0.36947276,0.0144,-0.1282,1.0063,1.015
0.373716666,0.0127,-0.1285,1.0058,1.014
0.374155677,0.0127,-0.1273,1.0031,1.011
0.375840312,0.0127,-0.1256,1.0016,1.010
0.378349739,0.0107,-0.1248,1.0011,1.009
0.380922604,0.0088,-0.1258,1.0011,1.009
0.38285802,0.0090,-0.1273,1.0006,1.009
0.385152604,0.0103,-0.1270,0.9996,1.008
0.388016718,0.0117,-0.1268,0.9977,1.006
0.390643958,0.0112,-0.1265,0.9957,1.004
0.392268593,0.0107,-0.1273,0.9952,1.003
0.394970781,0.0125,-0.1280,0.9940,1.002
0.397118281,0.0132,-0.1275,0.9943,1.003
0.399357447,0.0134,-0.1285,0.9945,1.003
0.401430625,0.0154,-0.1290,0.9940,1.002
0.404102708,0.0171,-0.1295,0.9960,1.005
0.406255104,0.0176,-0.1309,0.9967,1.005
0.408506145,0.0176,-0.1309,0.9955,1.004
0.4117225,0.0183,-0.1314,0.9962,1.005
0.41364276,0.0198,-0.1309,0.9982,1.007
0.415554739,0.0210,-0.1314,0.9999,1.009
0.417866927,0.0208,-0.1346,1.0009,1.010
0.420438697,0.0215,-0.1344,1.0024,1.012
0.422607708,0.0230,-0.1351,1.0048,1.014
0.424818281,0.0239,-0.1368,1.0055,1.015
0.427382656,0.0249,-0.1365,1.0041,1.014
0.430025312,0.0256,-0.1375,1.0055,1.015
0.431985208,0.0251,-0.1387,1.0072,1.017
0.434281666,0.0251,-0.1387,1.0075,1.017
0.437360729,0.0256,-0.1387,1.0082,1.018
0.438947812,0.0249,-0.1390,1.0085,1.018
0.441252552,0.0244,-0.1385,1.0077,1.017
0.443545885,0.0256,-0.1378,1.0077,1.017
0.446259687,0.0249,-0.1392,1.0072,1.017
0.448436197,0.0242,-0.1397,1.0065,1.016
0.450663177,0.0247,-0.1395,1.0063,1.016
0.453675989,0.0242,-0.1402,1.0046,1.015
0.455356041,0.0227,-0.1400,1.0026,1.013
0.45755677,0.0217,-0.1400,1.0016,1.012
0.45982776,0.0220,-0.1397,1.0014,1.011
0.462654062,0.0215,-0.1400,0.9999,1.010
0.464784635,0.0205,-0.1407,0.9994,1.009
0.466849687,0.0205,-0.1405,0.9992,1.009
0.470424947,0.0208,-0.1412,0.9977,1.008
0.471849166,0.0212,-0.1409,0.9957,1.006
0.474022135,0.0193,-0.1407,0.9955,1.006
0.476451041,0.0186,-0.1412,0.9967,1.007
0.479296093,0.0183,-0.1424,0.9967,1.007
0.481064843,0.0176,-0.1424,0.9967,1.007
