time,gFx,gFy,gFz,TgF
0.002059323,-0.7910,-0.1351,0.5970,1.000
0.002595729,-0.7910,-0.1353,0.5966,1.000
0.002929896,-0.7908,-0.1344,0.5966,1.000
0.003267708,-0.7908,-0.1324,0.5970,1.000
0.005871719,-0.7886,-0.1317,0.5970,0.998
0.007909219,-0.7842,-0.1329,0.5958,0.994
0.012864896,-0.7800,-0.1334,0.5927,0.989
0.013401198,-0.7757,-0.1334,0.5902,0.984
0.014999531,-0.7727,-0.1339,0.5880,0.980
0.016829479,-0.7690,-0.1334,0.5878,0.977
0.022704844,-0.7634,-0.1356,0.5878,0.973
0.02322724,-0.7595,-0.1378,0.5892,0.971
0.0243725,-0.7576,-0.1385,0.5931,0.972
0.027106927,-0.7539,-0.1405,0.5958,0.971
0.029489636,-0.7507,-0.1444,0.5983,0.971
0.030952865,-0.7475,-0.1468,0.6005,0.970
0.033220365,-0.7427,-0.1490,0.6024,0.968
0.035444115,-0.7390,-0.1551,0.6039,0.967
0.038224479,-0.7380,-0.1669,0.5858,0.957
0.040286875,-0.7317,-0.1952,0.5221,0.920
0.043202188,-0.7222,-0.2113,0.4964,0.901
0.045048438,-0.6879,-0.2160,0.5184,0.888
0.047155,-0.6425,-0.2279,0.5225,0.859
0.049391823,-0.6408,-0.2218,0.5338,0.863
0.051867552,-0.6674,-0.2060,0.5529,0.891
0.055587761,-0.6911,-0.1927,0.5736,0.919
0.056497604,-0.7094,-0.1842,0.5934,0.943
0.059465469,-0.7246,-0.1798,0.6086,0.963
0.06494125,-0.7368,-0.1759,0.6193,0.978
0.065646927,-0.7505,-0.1717,0.6274,0.993
0.065987031,-0.7661,-0.1673,0.6313,1.007
0.068891406,-0.7800,-0.1629,0.6347,1.019
0.071150833,-0.7923,-0.1576,0.6383,1.030
0.073784323,-0.8037,-0.1520,0.6403,1.039
0.076057135,-0.8111,-0.1473,0.6408,1.044
0.080959271,-0.8167,-0.1444,0.6398,1.047
0.081578385,-0.8211,-0.1422,0.6400,1.051
0.082365885,-0.8235,-0.1397,0.6388,1.052
0.085763906,-0.8264,-0.1392,0.6344,1.051
0.087312344,-0.8262,-0.1383,0.6264,1.046
0.090616563,-0.8255,-0.1363,0.6183,1.040
0.092086146,-0.8255,-0.1365,0.6110,1.036
0.094441146,-0.8225,-0.1370,0.6039,1.030
0.096432031,-0.8181,-0.1383,0.5963,1.022
0.099757656,-0.8145,-0.1402,0.5883,1.014
0.102423906,-0.8106,-0.1424,0.5819,1.008
0.106301354,-0.8062,-0.1449,0.5756,1.001
0.106992396,-0.8023,-0.1478,0.5677,0.994
0.108606042,-0.7996,-0.1505,0.5616,0.989
0.111084427,-0.7969,-0.1512,0.5582,0.985
0.114158281,-0.7932,-0.1517,0.5543,0.980
0.115313177,-0.7910,-0.1525,0.5502,0.976
0.117265625,-0.7905,-0.1532,0.5463,0.973
0.120090365,-0.7898,-0.1532,0.5463,0.972
0.122493073,-0.7898,-0.1529,0.5460,0.972
0.125277031,-0.7910,-0.1520,0.5443,0.972
0.127837708,-0.7910,-0.1522,0.5448,0.972
0.129799167,-0.7905,-0.1527,0.5463,0.973
0.131468073,-0.7910,-0.1520,0.5475,0.974
0.134032135,-0.7920,-0.1512,0.5477,0.975
0.139549167,-0.7930,-0.1525,0.5509,0.978
0.140310573,-0.7937,-0.1532,0.5572,0.982
0.14094526,-0.7959,-0.1512,0.5612,0.986
0.143988958,-0.7993,-0.1512,0.5658,0.991
0.147856667,-0.8045,-0.1510,0.5734,0.999
0.148492292,-0.8093,-0.1495,0.5787,1.006
0.150492031,-0.8120,-0.1488,0.5822,1.010
0.152504583,-0.8147,-0.1476,0.5868,1.015
0.155024479,-0.8186,-0.1466,0.5922,1.021
0.157926823,-0.8216,-0.1454,0.5961,1.025
0.160431667,-0.8245,-0.1441,0.5973,1.028
0.164555677,-0.8272,-0.1431,0.5988,1.031
0.16518974,-0.8272,-0.1402,0.6015,1.032
0.166802813,-0.8262,-0.1383,0.6017,1.031
0.168951094,-0.8274,-0.1370,0.6007,1.032
0.171336719,-0.8294,-0.1358,0.6022,1.034
0.17350776,-0.8301,-0.1353,0.6027,1.035
0.175568177,-0.8311,-0.1353,0.6012,1.035
0.17820375,-0.8314,-0.1329,0.5995,1.034
0.180627292,-0.8318,-0.1309,0.5985,1.033
0.182741823,-0.8340,-0.1319,0.5968,1.034
0.186025573,-0.8370,-0.1307,0.5939,1.035
0.188270573,-0.8392,-0.1285,0.5905,1.034
0.189779896,-0.8397,-0.1265,0.5865,1.032
0.192042396,-0.8411,-0.1258,0.5829,1.031
0.194383438,-0.8428,-0.1251,0.5802,1.031
0.197095833,-0.8445,-0.1234,0.5785,1.031
0.199438802,-0.8460,-0.1224,0.5751,1.030
0.202403177,-0.8470,-0.1207,0.5721,1.029
0.203853802,-0.8482,-0.1190,0.5695,1.029
0.207477708,-0.8484,-0.1177,0.5673,1.027
0.208511042,-0.8492,-0.1151,0.5643,1.026
0.211386979,-0.8514,-0.1136,0.5590,1.025
0.213550104,-0.8524,-0.1131,0.5558,1.024
0.215545365,-0.8526,-0.1131,0.5533,1.023
0.219233333,-0.8514,-0.1138,0.5502,1.020
0.220471615,-0.8492,-0.1136,0.5497,1.018
0.223064688,-0.8509,-0.1124,0.5482,1.018
0.224710729,-0.8516,-0.1141,0.5463,1.018
0.227176667,-0.8504,-0.1160,0.5482,1.018
0.229657917,-0.8492,-0.1168,0.5504,1.019
0.232277604,-0.8484,-0.1182,0.5514,1.019
0.235347813,-0.8494,-0.1199,0.5533,1.021
0.239528802,-0.8511,-0.1224,0.5558,1.024
0.240172656,-0.8524,-0.1243,0.5590,1.027
0.241190052,-0.8536,-0.1261,0.5621,1.030
0.243811458,-0.8538,-0.1270,0.5651,1.032
0.245888438,-0.8531,-0.1282,0.5680,1.033
0.24816375,-0.8531,-0.1295,0.5721,1.035
0.250984635,-0.8528,-0.1304,0.5765,1.038
0.25625224,-0.8528,-0.1314,0.5812,1.040
0.256884792,-0.8536,-0.1331,0.5863,1.044
0.258560729,-0.8526,-0.1336,0.5885,1.045
0.264539948,-0.8519,-0.1329,0.5890,1.044
0.265177448,-0.8531,-0.1341,0.5919,1.047
0.265505469,-0.8533,-0.1358,0.5958,1.050
0.267090365,-0.8538,-0.1363,0.5975,1.051
0.269741823,-0.8553,-0.1368,0.5980,1.053
0.271574323,-0.8563,-0.1390,0.5968,1.053
0.273765729,-0.8582,-0.1405,0.5956,1.054
0.276947188,-0.8607,-0.1417,0.5948,1.056
0.278589635,-0.8636,-0.1422,0.5939,1.058
0.280887969,-0.8660,-0.1407,0.5934,1.059
0.283368125,-0.8672,-0.1402,0.5941,1.061
0.285891823,-0.8687,-0.1400,0.5931,1.061
0.287962448,-0.8704,-0.1397,0.5900,1.061
0.290233542,-0.8707,-0.1390,0.5890,1.060
0.292855156,-0.8714,-0.1385,0.5883,1.060
0.297739948,-0.8721,-0.1380,0.5861,1.060
0.298489844,-0.8736,-0.1375,0.5843,1.060
0.300100312,-0.8743,-0.1373,0.5846,1.061
0.302369115,-0.8746,-0.1365,0.5834,1.060
0.304362604,-0.8763,-0.1356,0.5819,1.061
0.306511354,-0.8777,-0.1344,0.5819,1.062
0.308734323,-0.8790,-0.1353,0.5824,1.063
0.311669427,-0.8817,-0.1358,0.5812,1.065
0.314105729,-0.8848,-0.1336,0.5807,1.067
0.315912552,-0.8875,-0.1319,0.5800,1.068
0.318588229,-0.8900,-0.1307,0.5787,1.070
0.321141823,-0.8919,-0.1304,0.5790,1.071
0.323801615,-0.8929,-0.1307,0.5780,1.072
0.325480156,-0.8919,-0.1302,0.5773,1.070
0.327675781,-0.8907,-0.1295,0.5760,1.069
0.330005312,-0.8893,-0.1304,0.5743,1.067
0.332330625,-0.8868,-0.1317,0.5721,1.064
0.335722031,-0.8843,-0.1324,0.5699,1.060
0.337335937,-0.8807,-0.1326,0.5685,1.057
0.339427135,-0.8751,-0.1326,0.5663,1.051
0.342665573,-0.8707,-0.1326,0.5641,1.046
0.347913542,-0.8660,-0.1329,0.5626,1.041
0.348555,-0.8607,-0.1336,0.5609,1.036
0.348920052,-0.8550,-0.1334,0.5585,1.030
0.351741927,-0.8494,-0.1341,0.5560,1.024
0.353211615,-0.8440,-0.1346,0.5546,1.019
0.355580625,-0.8399,-0.1363,0.5541,1.015
0.357862708,-0.8377,-0.1368,0.5529,1.013
0.364495365,-0.8340,-0.1358,0.5504,1.008
0.365147083,-0.8296,-0.1370,0.5499,1.005
0.365492917,-0.8260,-0.1380,0.5492,1.001
0.367685469,-0.8216,-0.1387,0.5480,0.997
0.372849271,-0.8189,-0.1390,0.5472,0.995
0.373479687,-0.8169,-0.1397,0.5465,0.993
0.374264219,-0.8135,-0.1427,0.5470,0.991
0.377649271,-0.8101,-0.1429,0.5472,0.988
