time,gFx,gFy,gFz,TgF
0.001805052,0.0149,-0.1397,0.9408,0.951
0.002338125,0.0146,-0.1400,0.9432,0.954
0.003914791,0.0146,-0.1395,0.9476,0.958
0.004492864,0.0142,-0.1370,0.9530,0.963
0.007081146,0.0146,-0.1358,0.9603,0.970
0.008351041,0.0161,-0.1341,0.9681,0.978
0.015703646,0.0173,-0.1319,0.9752,0.984
0.016331875,0.0195,-0.1326,0.9816,0.991
0.016662396,0.0212,-0.1324,0.9882,0.997
0.018196614,0.0220,-0.1309,0.9957,1.005
0.023223541,0.0230,-0.1302,1.0009,1.010
0.023801719,0.0242,-0.1304,1.0060,1.015
0.0246525,0.0251,-0.1304,1.0109,1.020
0.027634896,0.0259,-0.1290,1.0141,1.023
0.029504114,0.0264,-0.1292,1.0165,1.025
0.031668958,0.0254,-0.1309,1.0192,1.028
0.034200104,0.0239,-0.1319,1.0209,1.030
0.039603802,0.0239,-0.1329,1.0234,1.032
0.040159271,0.0242,-0.1331,1.0258,1.035
0.041005469,0.0217,-0.1329,1.0302,1.039
0.044000573,0.0181,-0.1329,1.0346,1.043
0.045709166,0.0159,-0.1339,1.0353,1.044
0.048342135,0.0142,-0.1356,1.0346,1.044
0.050324583,0.0127,-0.1365,1.0343,1.043
0.052648333,0.0127,-0.1383,1.0339,1.043
0.054978333,0.0112,-0.1387,1.0302,1.040
0.058371979,0.0088,-0.1383,1.0243,1.034
0.059910937,0.0081,-0.1383,1.0187,1.028
0.062323646,0.0081,-0.1400,1.0138,1.023
0.064306823,0.0088,-0.1407,1.0075,1.017
0.066427708,0.0100,-0.1392,1.0016,1.011
0.069352083,0.0100,-0.1385,0.9967,1.006
0.072564114,0.0083,-0.1368,0.9928,1.002
0.073630677,0.0061,-0.1351,0.9909,1.000
0.076625052,0.0059,-0.1317,0.9891,0.998
0.078284323,0.0054,-0.1297,0.9874,0.996
0.081040885,0.0051,-0.1295,0.9862,0.995
0.082911198,0.0056,-0.1285,0.9848,0.993
0.085879114,0.0042,-0.1275,0.9852,0.993
0.090359114,0.0039,-0.1270,0.9857,0.994
0.090930364,0.0032,-0.1258,0.9857,0.994
0.092777864,0.0015,-0.1251,0.9874,0.995
0.094814427,0.0007,-0.1253,0.9889,0.997
0.097052604,-0.0010,-0.1251,0.9913,0.999
0.099457239,-0.0022,-0.1251,0.9950,1.003
0.102794271,-0.0027,-0.1258,0.9957,1.004
0.103948177,-0.0044,-0.1268,0.9933,1.001
0.106406666,-0.0046,-0.1280,0.9923,1.001
0.108713698,-0.0037,-0.1300,0.9933,1.002
0.111452187,-0.0032,-0.1309,0.9940,1.003
0.114051718,-0.0017,-0.1309,0.9955,1.004
0.115730416,0.0000,-0.1319,0.9979,1.007
0.118341979,0.0000,-0.1319,0.9989,1.008
0.120356041,0.0000,-0.1324,1.0011,1.010
0.123122187,0.0017,-0.1348,1.0028,1.012
0.126253906,0.0029,-0.1356,1.0033,1.012
0.128457239,0.0049,-0.1353,1.0050,1.014
0.129793021,0.0063,-0.1356,1.0097,1.019
0.1320275,0.0063,-0.1356,1.0138,1.023
0.135246666,0.0063,-0.1356,1.0148,1.024
0.140723489,0.0076,-0.1365,1.0173,1.026
0.141534375,0.0083,-0.1375,1.0197,1.029
0.141869062,0.0081,-0.1392,1.0209,1.030
0.145036614,0.0078,-0.1390,1.0216,1.031
0.146209687,0.0073,-0.1380,1.0214,1.031
0.148491562,0.0076,-0.1380,1.0199,1.029
0.151719531,0.0083,-0.1378,1.0187,1.028
0.156608437,0.0081,-0.1363,1.0185,1.028
0.157336614,0.0071,-0.1358,1.0155,1.025
0.157986823,0.0073,-0.1361,1.0129,1.022
0.161810833,0.0076,-0.1353,1.0102,1.019
0.162681614,0.0081,-0.1336,1.0077,1.017
0.164778229,0.0090,-0.1319,1.0053,1.014
0.167072239,0.0115,-0.1314,1.0038,1.012
0.16973276,0.0134,-0.1314,1.0018,1.011
0.172320156,0.0139,-0.1302,0.9972,1.006
0.174338177,0.0149,-0.1295,0.9955,1.004
0.176839062,0.0166,-0.1307,0.9950,1.004
0.181187187,0.0195,-0.1309,0.9916,1.000
0.181761614,0.0203,-0.1312,0.9896,0.998
0.18334026,0.0208,-0.1309,0.9889,0.998
0.185970885,0.0210,-0.1302,0.9877,0.996
0.188006718,0.0205,-0.1304,0.9865,0.995
0.190562916,0.0215,-0.1317,0.9869,0.996
0.192816458,0.0225,-0.1326,0.9877,0.997
0.198303802,0.0215,-0.1326,0.9874,0.997
0.198856562,0.0198,-0.1346,0.9877,0.997
0.199762552,0.0208,-0.1365,0.9879,0.998
0.202576875,0.0210,-0.1375,0.9904,1.000
0.207092135,0.0198,-0.1378,0.9926,1.002
