time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001320,-0.1226,-0.0494,-0.0996,0.165
0.001689,-0.0582,-0.0003,-0.2390,0.246
0.006452,-0.0104,0.0399,-0.3464,0.349
0.012351,0.0119,0.0762,-0.4318,0.439
0.015834,0.0166,0.1042,-0.5050,0.516
0.020691,-0.0289,0.1762,-0.5684,0.596
0.025002,-0.0644,0.2374,-0.6150,0.662
0.029722,-0.0140,0.2047,-0.6450,0.677
0.034556,0.0647,0.1457,-0.6586,0.678
0.039695,0.1526,0.0866,-0.6558,0.679
0.044331,0.2280,0.0509,-0.6416,0.683
0.048466,0.2668,0.0241,-0.6089,0.665
0.053800,0.2594,-0.0035,-0.5388,0.598
0.058043,0.2172,-0.0060,-0.4410,0.492
0.063035,0.1636,-0.0056,-0.3179,0.358
0.067362,0.0937,-0.0141,-0.1794,0.203
0.072291,0.0214,-0.0202,-0.0443,0.053
0.076615,-0.0416,-0.0313,0.0874,0.102
0.081497,-0.0837,-0.0451,0.2110,0.231
0.090580,-0.1077,-0.0644,0.3077,0.332
0.091068,-0.1231,-0.0893,0.3942,0.423
0.095472,-0.1255,-0.1009,0.4590,0.486
0.100083,-0.1245,-0.1185,0.5068,0.535
0.104769,-0.1295,-0.1324,0.5355,0.567
0.109506,-0.1333,-0.1333,0.5310,0.563
0.114661,-0.1429,-0.1330,0.5078,0.544
0.119248,-0.1511,-0.1196,0.4612,0.500
0.123366,-0.1433,-0.1142,0.3795,0.421
0.129463,-0.1362,-0.1071,0.2868,0.335
0.132967,-0.1128,-0.0909,0.1997,0.247
0.138701,-0.0873,-0.0703,0.1039,0.153
0.142397,-0.0571,-0.0569,0.0041,0.081
0.147387,-0.0077,-0.0457,-0.0855,0.097
0.151582,0.0347,-0.0388,-0.1578,0.166
0.156425,0.0704,-0.0385,-0.2177,0.232
0.161811,0.0923,-0.0447,-0.2535,0.274
0.165853,0.1055,-0.0501,-0.2703,0.294
0.170850,0.1101,-0.0499,-0.2917,0.316
0.175056,0.1060,-0.0656,-0.2847,0.311
0.179880,0.0931,-0.0638,-0.2470,0.272
0.184640,0.0786,-0.0686,-0.2121,0.236
0.189777,0.0647,-0.0587,-0.1539,0.177
