time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.588137,-0.3630,0.1996,0.1832,0.453
0.593010,-0.4346,0.2309,0.0717,0.497
0.597550,-0.4610,0.2762,-0.0527,0.540
0.602021,-0.4522,0.3308,-0.1660,0.584
0.606995,-0.4230,0.3565,-0.2372,0.602
0.612520,-0.3762,0.3486,-0.2547,0.573
0.616335,-0.3191,0.3333,-0.2189,0.511
0.621401,-0.2471,0.3177,-0.1588,0.433
0.625369,-0.1862,0.2992,-0.1174,0.371
0.630508,-0.1645,0.2805,-0.1090,0.343
0.634830,-0.1793,0.2687,-0.1026,0.339
0.639534,-0.2065,0.2570,-0.0838,0.340
0.644133,-0.2174,0.2289,-0.0577,0.321
0.649038,-0.2238,0.2085,-0.0100,0.306
0.654245,-0.2375,0.2102,0.0469,0.321
0.658743,-0.2179,0.1981,0.1177,0.317
0.663941,-0.1792,0.1865,0.2020,0.328
0.668143,-0.1357,0.1873,0.2522,0.342
0.672638,-0.0852,0.1933,0.2708,0.343
0.677150,-0.0325,0.1926,0.2798,0.341
0.681815,0.0078,0.2137,0.2816,0.354
0.686655,0.0287,0.2518,0.2622,0.365
0.691127,0.0704,0.2829,0.2172,0.364
0.696800,0.1111,0.3308,0.1612,0.384
0.700382,0.1484,0.3788,0.1157,0.423
0.705779,0.2036,0.4245,0.0904,0.479
0.709747,0.2549,0.4725,0.0946,0.545
0.715201,0.3094,0.5085,0.1187,0.607
0.719206,0.3671,0.5395,0.1791,0.677
0.724043,0.4257,0.5559,0.2800,0.754
0.729057,0.4761,0.5646,0.3902,0.835
0.733285,0.5113,0.5656,0.5020,0.913
0.738638,0.5296,0.5635,0.5750,0.964
0.742963,0.5383,0.5610,0.6117,0.989
0.747466,0.5401,0.5603,0.6264,0.999
0.752310,0.5331,0.5784,0.6285,1.007
0.756835,0.5176,0.5959,0.6346,1.013
0.761539,0.5081,0.6155,0.6398,1.023
0.766150,0.4907,0.6349,0.6367,1.024
0.772268,0.4654,0.6613,0.5873,0.999
0.775689,0.4443,0.6922,0.5252,0.976
0.781070,0.3963,0.7111,0.4530,0.932
0.784775,0.3334,0.7324,0.3661,0.884
0.789751,0.2625,0.7489,0.2864,0.844
0.794233,0.1811,0.7725,0.2140,0.822
0.799067,0.1055,0.7841,0.1608,0.807
0.804088,0.0522,0.7906,0.1529,0.807
0.808195,0.0374,0.7944,0.1664,0.813
0.814914,0.0394,0.7834,0.1677,0.802
0.817902,0.0509,0.7718,0.1358,0.785
0.822508,0.0549,0.7690,0.0805,0.775
0.827077,0.0135,0.7563,0.0140,0.757
0.831770,-0.0733,0.7362,-0.0824,0.744
0.836524,-0.1744,0.7233,-0.1537,0.760
0.840982,-0.2730,0.7058,-0.2000,0.783
0.845947,-0.3573,0.6792,-0.2405,0.804
0.850478,-0.3965,0.6697,-0.2565,0.819
0.856745,-0.3765,0.6628,-0.2362,0.798
0.859717,-0.3214,0.6395,-0.1945,0.742
0.864650,-0.2432,0.6283,-0.1578,0.692
0.869023,-0.1419,0.6266,-0.1214,0.654
0.874059,-0.0531,0.6153,-0.1092,0.627
0.879157,-0.0027,0.6017,-0.1186,0.613
0.883274,0.0119,0.6027,-0.1472,0.621
0.888414,0.0005,0.6017,-0.1923,0.632
0.893077,-0.0249,0.5870,-0.2418,0.635
0.897950,-0.0573,0.5756,-0.2812,0.643
0.902953,-0.0896,0.5747,-0.3010,0.655
0.907070,-0.1008,0.5700,-0.3177,0.660
0.912328,-0.0701,0.5473,-0.2837,0.620
0.916595,0.0209,0.5278,-0.1706,0.555
0.921589,0.1218,0.5209,-0.0217,0.535
0.926005,0.2252,0.5119,0.1341,0.575
0.931007,0.3642,0.4936,0.2946,0.680
0.935036,0.5169,0.4752,0.4598,0.839
0.940555,0.6667,0.4593,0.6059,1.011
0.944273,0.8043,0.4504,0.7068,1.162
0.949050,0.9161,0.4651,0.7862,1.294
0.954116,1.0242,0.4913,0.8701,1.431
0.958579,1.1078,0.5290,0.9436,1.548
0.963269,1.1557,0.5778,0.9971,1.632
0.968489,1.1755,0.6235,1.0614,1.702
0.973058,1.1584,0.6538,1.1359,1.749
0.977916,1.1335,0.6924,1.1989,1.789
0.981895,1.1013,0.7389,1.2098,1.795
0.987389,1.0361,0.7742,1.1665,1.742
0.991033,0.9427,0.8124,1.1263,1.678
0.995872,0.8570,0.8462,1.0797,1.617
1.000421,0.7720,0.8734,0.9958,1.533
1.005158,0.6663,0.8869,0.8631,1.406
1.010668,0.5425,0.8920,0.7057,1.260
1.015017,0.4100,0.8675,0.5622,1.112
1.019803,0.3134,0.8020,0.4089,0.953
1.023963,0.2471,0.7365,0.2751,0.824
1.028649,0.1793,0.6523,0.1565,0.694
1.033927,0.1328,0.5519,0.0441,0.569
1.038744,0.1141,0.4430,-0.0522,0.460
1.042811,0.1316,0.3352,-0.1153,0.378
1.047532,0.1680,0.2452,-0.1167,0.319
1.052749,0.2204,0.1657,-0.0614,0.283
1.057176,0.3170,0.0799,0.0550,0.332
1.062358,0.4694,-0.0075,0.2224,0.519
1.065897,0.6560,-0.0874,0.3973,0.772
1.071462,0.8438,-0.1647,0.5652,1.029
1.075570,1.0121,-0.2109,0.7184,1.259
