time,gFx,gFy,gFz,TgF
0.001755573,0.0506,-0.1395,0.9625,0.974
0.00235125,0.0518,-0.1400,0.9706,0.982
0.002777344,0.0520,-0.1407,0.9779,0.989
0.003178281,0.0506,-0.1402,0.9862,0.997
0.006101771,0.0501,-0.1412,0.9957,1.007
0.007136771,0.0472,-0.1417,1.0024,1.013
0.014344375,0.0447,-0.1427,1.0085,1.019
0.014933958,0.0418,-0.1439,1.0160,1.027
0.015219271,0.0374,-0.1449,1.0236,1.034
0.017964688,0.0340,-0.1471,1.0304,1.041
0.021977552,0.0310,-0.1461,1.0339,1.045
0.022578177,0.0276,-0.1451,1.0368,1.047
0.02335,0.0247,-0.1463,1.0400,1.050
0.026370156,0.0222,-0.1466,1.0417,1.052
0.027903906,0.0208,-0.1471,1.0434,1.054
0.030317865,0.0193,-0.1468,1.0444,1.055
0.033358594,0.0178,-0.1471,1.0446,1.055
0.035236094,0.0183,-0.1476,1.0444,1.055
0.037431667,0.0198,-0.1459,1.0429,1.053
0.039737656,0.0208,-0.1454,1.0412,1.051
0.042318958,0.0203,-0.1461,1.0383,1.049
0.046877813,0.0198,-0.1451,1.0329,1.043
0.047543386,0.0208,-0.1446,1.0285,1.039
0.048939271,0.0220,-0.1451,1.0236,1.034
0.051414583,0.0230,-0.1456,1.0187,1.029
0.054703386,0.0244,-0.1451,1.0155,1.026
0.056021823,0.0254,-0.1444,1.0104,1.021
0.058480208,0.0269,-0.1434,1.0050,1.016
0.060687448,0.0298,-0.1417,1.0028,1.013
0.063042708,0.0323,-0.1414,0.9999,1.010
0.065295365,0.0327,-0.1407,0.9965,1.007
0.071450469,0.0327,-0.1392,0.9945,1.005
0.072074844,0.0330,-0.1385,0.9923,1.002
0.072342917,0.0337,-0.1368,0.9901,1.000
0.074891146,0.0352,-0.1356,0.9891,0.999
0.076953906,0.0359,-0.1344,0.9879,0.998
0.080061927,0.0354,-0.1351,0.9874,0.997
0.08275099,0.0352,-0.1356,0.9872,0.997
0.084782969,0.0340,-0.1356,0.9860,0.996
0.086314011,0.0337,-0.1373,0.9860,0.996
0.088733542,0.0325,-0.1378,0.9869,0.997
0.090885104,0.0301,-0.1375,0.9882,0.998
0.093355261,0.0298,-0.1395,0.9909,1.001
0.096196146,0.0301,-0.1407,0.9921,1.002
0.098084427,0.0298,-0.1409,0.9921,1.002
0.101174271,0.0283,-0.1412,0.9940,1.004
0.105419167,0.0264,-0.1419,0.9965,1.007
0.10618125,0.0247,-0.1434,0.9982,1.009
0.107250261,0.0247,-0.1446,0.9992,1.010
0.110031198,0.0242,-0.1449,1.0006,1.011
0.112157761,0.0234,-0.1449,1.0018,1.013
0.114891823,0.0242,-0.1449,1.0031,1.014
0.118170417,0.0232,-0.1444,1.0048,1.015
0.122149896,0.0227,-0.1454,1.0048,1.016
0.122890677,0.0247,-0.1466,1.0075,1.018
0.123721615,0.0259,-0.1476,1.0090,1.020
0.126655469,0.0254,-0.1476,1.0087,1.020
0.128349427,0.0269,-0.1471,1.0104,1.021
0.130767188,0.0286,-0.1483,1.0114,1.023
0.133080417,0.0288,-0.1483,1.0121,1.023
0.135456302,0.0298,-0.1471,1.0124,1.023
0.137821875,0.0320,-0.1456,1.0114,1.022
0.140593854,0.0335,-0.1434,1.0109,1.022
0.14324974,0.0340,-0.1427,1.0112,1.022
0.147469167,0.0345,-0.1419,1.0126,1.023
0.148171198,0.0342,-0.1417,1.0129,1.023
0.149456354,0.0352,-0.1405,1.0114,1.022
0.151799479,0.0371,-0.1395,1.0107,1.021
0.154485156,0.0381,-0.1387,1.0109,1.021
0.156388802,0.0381,-0.1378,1.0092,1.019
0.159064063,0.0381,-0.1378,1.0080,1.018
0.165262552,0.0389,-0.1378,1.0075,1.018
0.165980781,0.0384,-0.1385,1.0068,1.017
0.166341042,0.0379,-0.1392,1.0063,1.017
0.16858224,0.0367,-0.1387,1.0053,1.015
0.171024531,0.0349,-0.1380,1.0048,1.015
0.172847135,0.0347,-0.1373,1.0043,1.014
0.175505677,0.0342,-0.1380,1.0046,1.015
0.180399375,0.0323,-0.1395,1.0031,1.013
0.18112625,0.0313,-0.1392,1.0014,1.011
0.182310365,0.0313,-0.1405,1.0001,1.010
0.185385365,0.0303,-0.1414,1.0001,1.011
0.18727526,0.0281,-0.1407,0.9992,1.009
0.189105521,0.0256,-0.1419,0.9977,1.008
0.191383802,0.0251,-0.1431,0.9984,1.009
0.194044792,0.0256,-0.1449,0.9979,1.009
0.196240208,0.0247,-0.1456,0.9970,1.008
0.19840599,0.0232,-0.1441,0.9972,1.008
0.201680781,0.0220,-0.1446,0.9979,1.009
0.203144896,0.0208,-0.1461,0.9992,1.010
0.205692917,0.0208,-0.1485,0.9996,1.011
0.20772026,0.0200,-0.1507,0.9996,1.011
0.210249323,0.0205,-0.1510,0.9994,1.011
0.213682031,0.0212,-0.1493,1.0016,1.013
0.215411823,0.0215,-0.1488,1.0048,1.016
0.218993854,0.0210,-0.1503,1.0063,1.018
0.219689635,0.0210,-0.1527,1.0063,1.018
0.221976823,0.0230,-0.1525,1.0063,1.018
0.224029531,0.0237,-0.1505,1.0080,1.019
0.226551354,0.0234,-0.1505,1.0085,1.020
0.228919271,0.0239,-0.1505,1.0080,1.019
0.231288646,0.0249,-0.1505,1.0082,1.020
0.233826458,0.0254,-0.1498,1.0090,1.020
0.238944583,0.0256,-0.1498,1.0087,1.020
0.239816927,0.0259,-0.1495,1.0094,1.021
0.241026354,0.0251,-0.1493,1.0097,1.021
0.247030521,0.0244,-0.1493,1.0094,1.021
0.247800521,0.0244,-0.1481,1.0107,1.022
0.248188698,0.0256,-0.1468,1.0097,1.021
0.250436875,0.0276,-0.1461,1.0090,1.020
0.25600349,0.0276,-0.1454,1.0090,1.020
0.256758177,0.0269,-0.1444,1.0068,1.017
0.257120052,0.0271,-0.1431,1.0063,1.017
0.259871302,0.0271,-0.1434,1.0060,1.017
0.264716146,0.0271,-0.1429,1.0060,1.016
0.265446094,0.0281,-0.1424,1.0055,1.016
0.266230417,0.0286,-0.1431,1.0055,1.016
0.272172552,0.0266,-0.1429,1.0060,1.016
0.272903177,0.0251,-0.1407,1.0053,1.015
0.273378177,0.0249,-0.1405,1.0050,1.015
0.275685938,0.0237,-0.1407,1.0063,1.016
0.281085521,0.0230,-0.1419,1.0048,1.015
0.281911667,0.0215,-0.1424,1.0041,1.014
0.282440104,0.0210,-0.1419,1.0048,1.015
0.288813385,0.0200,-0.1422,1.0033,1.014
0.289608594,0.0183,-0.1419,1.0028,1.013
0.289966198,0.0183,-0.1422,1.0014,1.012
0.292185365,0.0176,-0.1429,1.0006,1.011
0.297482083,0.0156,-0.1429,1.0031,1.013
0.298155417,0.0139,-0.1429,1.0048,1.015
0.30009375,0.0137,-0.1427,1.0036,1.014
0.305438177,0.0134,-0.1437,1.0036,1.014
0.306207188,0.0129,-0.1441,1.0048,1.015
0.306587135,0.0127,-0.1437,1.0050,1.015
0.308800313,0.0112,-0.1434,1.0041,1.014
0.314227188,0.0112,-0.1422,1.0043,1.014
0.314989635,0.0120,-0.1424,1.0055,1.016
0.315358594,0.0120,-0.1419,1.0063,1.016
0.318880469,0.0127,-0.1422,1.0060,1.016
0.319957292,0.0132,-0.1431,1.0046,1.015
